Protein.Accession,Group.Proteins,Group.Accessions,Gene,FC,FCmin,FCmax,Adj_pValue,Log2FC,Log10pValue,Log2FCmin,Log2FCmax,FC_SE,FC_SD_NoProp,FC_SD_Log2,type
P02766,sp|P02766|TTHY_HUMAN,P02766,TTR,1.5661,1.3901,1.7644,0.00165135371,0.6472,-2.78215989351589,0.475188670225608,0.819177665542768,0.095484693877551,0.104849470895292,0.0965875817000639,Not Significant
P05023,sp|P05023|AT1A1_HUMAN,P05023,ATP1A1,3.8351,0.3802,38.6905,0.241781489,1.9393,-0.616576952163798,-1.3951695629009,5.27390746783648,9.77303571428571,10.7315380305635,4.03700990790469,Not Significant
P0C7M8,sp|P0C7M8|CLC2L_HUMAN,P0C7M8,CLEC2L,5.3609,3.1246,9.1979,0.00302598929,2.4225,-2.51913261342524,1.64367151298992,3.20130451275499,1.5493112244898,1.70126179959492,0.457833938616543,Enriched
P10301,sp|P10301|RRAS_HUMAN,P10301,RRAS,8.2215,2.3307,29.001,0.0212614906,3.0394,-1.67240629123974,1.22076331748012,4.85803074237472,6.80364795918367,7.47092397440213,1.31098521787124,Enriched
P16615,sp|P16615|AT2A2_HUMAN,P16615,ATP2A2,29.0798,22.7777,37.1256,3.12874611e-05,4.8619,-4.50462967734587,4.50955017177897,5.21434243689584,3.66017857142857,4.01915501859088,0.199396660702104,Enriched
P48739,sp|P48739|PIPNB_HUMAN,P48739,PITPNB,10.1435,8.5533,12.0293,3.25119296e-05,3.3425,-4.48795725413465,3.09648114223273,3.58848078761654,0.886734693877551,0.973702273128603,0.138488237861187,Enriched
P50579,sp|P50579|MAP2_HUMAN,P50579,METAP2,4.2742,1.5588,11.7201,0.0328416573,2.0957,-1.48357493504578,0.640435836619588,3.55091297427966,2.59216836734694,2.84639842000624,0.960761051176169,Enriched
P51149,sp|P51149|RAB7A_HUMAN,P51149,RAB7A,25.5222,21.8789,29.7723,1.05133467e-05,4.6737,-4.97825901356452,4.45146830082231,4.89589877331317,2.01362244897959,2.2111109098715,0.124987608612388,Enriched
Q53HC9,sp|Q53HC9|EIPR1_HUMAN,Q53HC9,EIPR1,13.9673,5.523,35.3219,0.00408399439,3.804,-2.38891486315558,2.46545212740898,5.14249104395677,7.60176020408163,8.34731204451437,0.862201405523873,Enriched
Q5W111,sp|Q5W111|SPRY7_HUMAN,Q5W111,SPRYD7,11.4821,7.4072,17.7987,0.000485378675,3.5213,-3.31391930821272,2.88892829158456,4.15369996686308,2.65089285714286,2.910882385275,0.36574455734119,Enriched
Q7KZI7,sp|Q7KZI7|MARK2_HUMAN,Q7KZI7,MARK2,3.561,1.1488,11.0385,0.0653843843,1.8323,-1.18452596149414,0.200127654273602,3.46447223533783,2.52288265306122,2.77031742536247,1.12235978973848,Not Significant
Q93052,sp|Q93052|LPP_HUMAN,Q93052,LPP,8.6338,6.6407,11.225,0.000142932196,3.11,-3.84486993376878,2.73133532490057,3.48864353985378,1.16946428571429,1.28416091217015,0.214581363905966,Enriched
Q96AT9 / Q2QD12,sp|Q96AT9|RPE_HUMAN / sp|Q2QD12|RPEL1_HUMAN,Q96AT9 / Q2QD12,RPE / RPEL1,5.6918,2.9091,11.1363,0.00550293201,2.5089,-2.25940585296464,1.54057288977766,3.47719807637006,2.09877551020408,2.30461546072602,0.58414865180531,Enriched
Q96QE2,sp|Q96QE2|MYCT_HUMAN,Q96QE2,SLC2A13,38.8965,0.8407,1799.5214,0.0921160248,5.2816,-1.03566481196568,-0.250337021786211,10.8133975436295,458.847117346939,503.849104206717,18.6880722943035,Not Significant
Q9H2K0,sp|Q9H2K0|IF3M_HUMAN,Q9H2K0,MTIF3,1.4315,0.2287,8.9604,0.661737754,0.5175,-0.179314086927914,-2.12847172913778,3.1635631368739,2.22747448979592,2.44593674864126,2.46506518867819,Not Significant
