Protein,Protein Accession,Protein Gene,MS Level,Fold Change Result,Fold Change,Min Fold Change,Max Fold Change,Adjusted P-Value,Log 2 Fold Change
sp|Q9NQW7|XPP1_HUMAN,Q9NQW7,XPNPEP1,2,8.88 (95% CI:2.46 to 32.11),8.8816,2.4564,32.1129,2.02479554E-2,3.1508
sp|Q9NWV8|BABA1_HUMAN,Q9NWV8,BABAM1,2,2.1 (95% CI:1.36 to 3.24),2.1017,1.3634,3.2399,1.96533078E-2,1.0716
sp|Q9UH92|MLX_HUMAN,Q9UH92,MLX,2,8017.58 (95% CI:1.98 to 32392863.15),8017.5838,1.9844,32392863.1476,6.78290523E-2,12.969
sp|Q9Y5K6|CD2AP_HUMAN,Q9Y5K6,CD2AP,2,4.83 (95% CI:4.55 to 5.14),4.8327,4.5459,5.1375,6.42560189E-6,2.2728
sp|Q9Y6K9|NEMO_HUMAN,Q9Y6K9,IKBKG,2,2.22 (95% CI:0.71 to 6.93),2.2182,0.7105,6.9255,1.76761138E-1,1.1494
sp|O75165|DJC13_HUMAN,O75165,DNAJC13,2,1.78 (95% CI:1.19 to 2.65),1.7793,1.193,2.6538,3.27502340E-2,0.8313
sp|P00746|CFAD_HUMAN,P00746,CFD,2,0.19 (95% CI:0.16 to 0.23),0.1912,0.1621,0.2256,7.85423656E-5,-2.3865
sp|P19022|CADH2_HUMAN,P19022,CDH2,2,38.6 (95% CI:0 to 2087582.23),38.6039,0.0007,2087582.2271,4.71080097E-1,5.2707
sp|P20936|RASA1_HUMAN,P20936,RASA1,2,5.92 (95% CI:4.81 to 7.3),5.9247,4.8101,7.2975,1.27566208E-4,2.5667
sp|P33527|MRP1_HUMAN,P33527,ABCC1,2,0.72 (95% CI:0.66 to 0.79),0.7228,0.6579,0.7941,2.18992032E-3,-0.4683
sp|P48735|IDHP_HUMAN,P48735,IDH2,2,37.59 (95% CI:32.68 to 43.24),37.5931,32.6838,43.2397,6.35200710E-6,5.2324
sp|P49908|SEPP1_HUMAN,P49908,SELENOP,2,2.23 (95% CI:2.04 to 2.43),2.2304,2.0431,2.4349,1.03313906E-4,1.1573
sp|P62841|RS15_HUMAN,P62841,RPS15,2,21.68 (95% CI:13.8 to 34.07),21.6802,13.7955,34.0713,2.58407592E-4,4.4383
sp|Q02338|BDH_HUMAN,Q02338,BDH1,2,7.5 (95% CI:5.78 to 9.73),7.4972,5.7784,9.7272,1.72040393E-4,2.9063
sp|Q16643|DREB_HUMAN,Q16643,DBN1,2,27.52 (95% CI:20.41 to 37.12),27.5244,20.4095,37.1195,5.84171431E-5,4.7826
sp|Q53HC0|CCD92_HUMAN,Q53HC0,CCDC92,2,52.18 (95% CI:48.58 to 56.06),52.1841,48.577,56.059,2.11187355E-6,5.7055
sp|Q7L523|RRAGA_HUMAN,Q7L523,RRAGA,2,21.68 (95% CI:0.09 to 5514.29),21.6777,0.0852,5514.2926,2.60241071E-1,4.4381
sp|Q86TI0|TBCD1_HUMAN,Q86TI0,TBC1D1,2,16.44 (95% CI:1.31 to 206.94),16.4379,1.3057,206.9386,6.64527460E-2,4.039
sp|Q8NBF2|NHLC2_HUMAN,Q8NBF2,NHLRC2,2,0.62 (95% CI:0.51 to 0.76),0.6237,0.5136,0.7574,6.73973460E-3,-0.6811
sp|Q92597|NDRG1_HUMAN,Q92597,NDRG1,2,2.8 (95% CI:0.61 to 12.79),2.7955,0.6111,12.7871,1.86432907E-1,1.4831
sp|Q9NPR9|GP108_HUMAN,Q9NPR9,GPR108,2,12.61 (95% CI:10.18 to 15.61),12.6081,10.1846,15.6083,4.76050422E-5,3.6563
sp|Q9NRW4|DUS22_HUMAN,Q9NRW4,DUSP22,2,6.84 (95% CI:4.81 to 9.73),6.8382,4.8078,9.726,5.14226402E-4,2.7736
sp|Q9NWX6|THG1_HUMAN,Q9NWX6,THG1L,2,0.37 (95% CI:0.18 to 0.77),0.3691,0.1774,0.7681,3.86783850E-2,-1.4378
sp|Q9NZA1|CLIC5_HUMAN / sp|Q96NY7|CLIC6_HUMAN,Q9NZA1 / Q96NY7,CLIC5 / CLIC6,2,26.17 (95% CI:15.5 to 44.17),26.1662,15.4995,44.1738,3.38318827E-4,4.7096
sp|Q9ULC5|ACSL5_HUMAN,Q9ULC5,ACSL5,2,7.17 (95% CI:4.21 to 12.2),7.1697,4.212,12.2041,1.74085843E-3,2.8419
sp|O43488|ARK72_HUMAN,O43488,AKR7A2,2,12.33 (95% CI:9.61 to 15.81),12.3254,9.6091,15.8095,7.65217148E-5,3.6236
sp|O60763|USO1_HUMAN,O60763,USO1,2,5.48 (95% CI:4.11 to 7.31),5.4804,4.1089,7.3096,4.05550962E-4,2.4543
sp|P01019|ANGT_HUMAN,P01019,AGT,2,0.29 (95% CI:0.26 to 0.33),0.2918,0.2589,0.3288,7.20320797E-5,-1.7771
sp|P15169|CBPN_HUMAN,P15169,CPN1,2,1.89 (95% CI:1.63 to 2.19),1.8862,1.6254,2.1889,1.11088386E-3,0.9155
sp|P15170|ERF3A_HUMAN,P15170,GSPT1,2,4.34 (95% CI:3.57 to 5.27),4.3405,3.5715,5.2749,1.87973001E-4,2.1178
sp|P16219|ACADS_HUMAN,P16219,ACADS,2,14.26 (95% CI:10.55 to 19.26),14.2571,10.5511,19.265,1.14763948E-4,3.8336
sp|P61160|ARP2_HUMAN,P61160,ACTR2,2,20.99 (95% CI:16.69 to 26.39),20.9863,16.6887,26.3906,3.45586509E-5,4.3914
sp|Q01469|FABP5_HUMAN,Q01469,FABP5,2,11.4 (95% CI:8.98 to 14.48),11.4015,8.9766,14.4815,7.48820688E-5,3.5112
sp|Q13155|AIMP2_HUMAN,Q13155,AIMP2,2,12.19 (95% CI:3.11 to 47.77),12.1892,3.1105,47.7659,1.62246298E-2,3.6075
sp|Q13740|CD166_HUMAN,Q13740,ALCAM,2,0.72 (95% CI:0.25 to 2.1),0.7233,0.2487,2.1042,5.03316759E-1,-0.4673
sp|Q14126|DSG2_HUMAN,Q14126,DSG2,2,2.3 (95% CI:1.8 to 2.94),2.3014,1.8028,2.9379,2.25591304E-3,1.2025
sp|Q15382|RHEB_HUMAN,Q15382,RHEB,2,6.32 (95% CI:1.73 to 23.07),6.3155,1.7287,23.0721,3.39708379E-2,2.6589
sp|Q7LBR1|CHM1B_HUMAN,Q7LBR1,CHMP1B,2,12.87 (95% CI:7.38 to 22.45),12.8685,7.3755,22.4524,8.77049346E-4,3.6858
sp|Q7Z401|MYCPP_HUMAN,Q7Z401,DENND4A,2,8.24 (95% CI:0.95 to 71.36),8.2377,0.9509,71.3626,8.74192212E-2,3.0422
sp|Q8IU80|TMPS6_HUMAN,Q8IU80,TMPRSS6,2,0.13 (95% CI:0.1 to 0.17),0.1307,0.1015,0.1683,1.52267575E-4,-2.9354
sp|Q9BVG4|PBDC1_HUMAN,Q9BVG4,PBDC1,2,4.22 (95% CI:2.02 to 8.81),4.2239,2.0246,8.8123,1.32007397E-2,2.0786
