Protein,Protein Accession,Protein Gene,MS Level,Fold Change Result,Fold Change,Min Fold Change,Max Fold Change,Adjusted P-Value,Log 2 Fold Change
sp|A6NIH7|U119B_HUMAN / sp|Q13432|U119A_HUMAN,A6NIH7 / Q13432,UNC119B / UNC119,2,1565.42 (95% CI:0.02 to 120102107.48),1565.4235,0.0204,120102107.4754,1.97577161E-1,10.6123
sp|O15194|CTDSL_HUMAN,O15194,CTDSPL,2,4.98 (95% CI:3.49 to 7.09),4.9769,3.4913,7.0947,9.14826267E-4,2.3152
sp|O95445|APOM_HUMAN,O95445,APOM,2,0.15 (95% CI:0.13 to 0.17),0.1519,0.1327,0.1738,3.01855278E-5,-2.719
sp|P02748|CO9_HUMAN,P02748,C9,2,6.12 (95% CI:5.42 to 6.91),6.1215,5.4196,6.9143,2.55954189E-5,2.6139
sp|P21281|VATB2_HUMAN,P21281,ATP6V1B2,2,6.12 (95% CI:1.5 to 24.96),6.1242,1.5028,24.9577,4.49058505E-2,2.6145
sp|P23919|KTHY_HUMAN,P23919,DTYMK,2,1.93 (95% CI:0.93 to 4),1.9323,0.9328,4.0031,1.04635951E-1,0.9503
sp|P36551|HEM6_HUMAN,P36551,CPOX,2,5.97 (95% CI:3.51 to 10.16),5.9744,3.5128,10.1609,2.35964642E-3,2.5788
sp|P55103|INHBC_HUMAN,P55103,INHBC,2,3.45 (95% CI:2.96 to 4.02),3.4493,2.9588,4.0212,1.51321401E-4,1.7863
sp|P59190|RAB15_HUMAN,P59190,RAB15,2,24.99 (95% CI:21.66 to 28.84),24.9943,21.6592,28.843,8.83872858E-6,4.6435
sp|P61129|ZC3H6_HUMAN,P61129,ZC3H6,2,9 (95% CI:7.06 to 11.46),8.9968,7.0636,11.459,1.05415900E-4,3.1694
sp|Q02410|APBA1_HUMAN / sp|Q99767|APBA2_HUMAN,Q02410 / Q99767,APBA1 / APBA2,2,3.37 (95% CI:0.17 to 65.94),3.3675,0.172,65.9395,3.92069999E-1,1.7517
sp|Q07954|LRP1_HUMAN,Q07954,LRP1,2,4.65 (95% CI:3.9 to 5.55),4.6535,3.9003,5.5522,1.19260413E-4,2.2183
sp|Q15813|TBCE_HUMAN,Q15813,TBCE,2,2.1 (95% CI:0.81 to 5.46),2.0961,0.8051,5.4576,1.46412918E-1,1.0677
sp|Q8WUY1|THEM6_HUMAN,Q8WUY1,THEM6,2,24.13 (95% CI:16.88 to 34.49),24.1272,16.8791,34.4877,1.11476256E-4,4.5926
sp|Q92888|ARHG1_HUMAN,Q92888,ARHGEF1,2,2.47 (95% CI:1.12 to 5.47),2.472,1.1173,5.4691,6.28516673E-2,1.3057
sp|Q92928|RAB1C_HUMAN,Q92928,RAB1C,2,27.96 (95% CI:25.1 to 31.16),27.9641,25.0968,31.1589,4.48472982E-6,4.8055
sp|Q92963|RIT1_HUMAN,Q92963,RIT1,2,36.39 (95% CI:17.41 to 76.03),36.3878,17.4145,76.0327,7.27571825E-4,5.1854
sp|Q96BN8|OTUL_HUMAN,Q96BN8,OTULIN,2,2.35 (95% CI:0.76 to 7.28),2.3503,0.7592,7.2761,1.53086640E-1,1.2328
sp|Q99442|SEC62_HUMAN,Q99442,SEC62,2,2.16 (95% CI:0.64 to 7.33),2.1637,0.6385,7.3325,2.09700081E-1,1.1135
sp|Q9BVK6|TMED9_HUMAN,Q9BVK6,TMED9,2,4.86 (95% CI:2.3 to 10.28),4.859,2.2961,10.2826,1.05158787E-2,2.2807
sp|Q9NQP4|PFD4_HUMAN,Q9NQP4,PFDN4,2,24.13 (95% CI:13.88 to 41.97),24.1338,13.8786,41.9667,4.39992218E-4,4.593
sp|Q9NSY1|BMP2K_HUMAN,Q9NSY1,BMP2K,2,5.71 (95% CI:1.69 to 19.29),5.7108,1.6908,19.2888,3.33723834E-2,2.5137
sp|Q9NZN5|ARHGC_HUMAN,Q9NZN5,ARHGEF12,2,8.3 (95% CI:4.63 to 14.87),8.3009,4.6334,14.8714,1.85849739E-3,3.0533
sp|Q9UII2|ATIF1_HUMAN,Q9UII2,ATP5IF1,2,39.99 (95% CI:30.88 to 51.78),39.9867,30.88,51.7789,2.86045487E-5,5.3214
sp|Q9UP95|S12A4_HUMAN / sp|Q9UHW9|S12A6_HUMAN,Q9UP95 / Q9UHW9,SLC12A4 / SLC12A6,2,17.01 (95% CI:8.7 to 33.23),17.006,8.7044,33.225,1.13920450E-3,4.088
sp|O00471|EXOC5_HUMAN,O00471,EXOC5,2,13.73 (95% CI:7.16 to 26.31),13.7267,7.1612,26.3116,1.33699954E-3,3.7789
sp|O15173|PGRC2_HUMAN,O15173,PGRMC2,2,40.61 (95% CI:23.05 to 71.55),40.6075,23.0451,71.5539,2.91645245E-4,5.3437
sp|O43426|SYNJ1_HUMAN,O43426,SYNJ1,2,18289.15 (95% CI:0.6 to 556507175.19),18289.1464,0.6011,556507175.1917,9.30777729E-2,14.1587
sp|O75069|TMCC2_HUMAN,O75069,TMCC2,2,2.63 (95% CI:1.28 to 5.4),2.6327,1.2825,5.4046,3.98481002E-2,1.3966
sp|O95487|SC24B_HUMAN,O95487,SEC24B,2,10.04 (95% CI:6.73 to 14.96),10.0359,6.7323,14.9606,4.34571517E-4,3.3271
sp|P09211|GSTP1_HUMAN,P09211,GSTP1,2,19.58 (95% CI:15.81 to 24.25),19.5821,15.8112,24.2523,3.06446229E-5,4.2915
sp|P13798|ACPH_HUMAN,P13798,APEH,2,16.72 (95% CI:14.04 to 19.91),16.7196,14.0398,19.9108,2.06241270E-5,4.0635
sp|P18433|PTPRA_HUMAN,P18433,PTPRA,2,2.6 (95% CI:1.17 to 5.78),2.6026,1.1727,5.7758,5.48518023E-2,1.3799
sp|P49589|SYCC_HUMAN,P49589,CARS1,2,0.06 (95% CI:0.05 to 0.07),0.0581,0.0509,0.0663,9.97244072E-6,-4.1054
sp|P57053|H2BFS_HUMAN / sp|Q99879|H2B1M_HUMAN / sp|Q16778|H2B2E_HUMAN / sp|Q5QNW6|H2B2F_HUMAN / sp|P62807|H2B1C_HUMAN / sp|O60814|H2B1K_HUMAN / sp|P23527|H2B1O_HUMAN / sp|P06899|H2B1J_HUMAN / sp|Q99877|H2B1N_HUMAN / sp|Q99880|H2B1L_HUMAN / sp|P33778|H2B1B_HUMAN / sp|Q93079|H2B1H_HUMAN / sp|Q8N257|H2B3B_HUMAN / sp|P58876|H2B1D_HUMAN,P57053 / Q99879 / Q16778 / Q5QNW6 / P62807 / O60814 / P23527 / P06899 / Q99877 / Q99880 / P33778 / Q93079 / Q8N257 / P58876,H2BC12L / H2BC14 / H2BC21 / H2BC18 / H2BC10 / H2BC12 / H2BC17 / H2BC11 / H2BC15 / H2BC13 / H2BC3 / H2BC9 / H2BU1 / H2BC5,2,36.06 (95% CI:5.48 to 237.25),36.0578,5.4801,237.2512,1.44400593E-2,5.1722
sp|P78406|RAE1L_HUMAN,P78406,RAE1,2,1.18 (95% CI:0.9 to 1.54),1.1763,0.8984,1.5403,2.28086242E-1,0.2343
sp|Q15057|ACAP2_HUMAN,Q15057,ACAP2,2,11.87 (95% CI:9.97 to 14.14),11.8717,9.9692,14.1373,2.93827925E-5,3.5695
sp|Q5TEC6|H37_HUMAN / sp|P84243|H33_HUMAN / sp|P68431|H31_HUMAN / sp|Q71DI3|H32_HUMAN / sp|Q16695|H31T_HUMAN / sp|Q6NXT2|H3C_HUMAN,Q5TEC6 / P84243 / P68431 / Q71DI3 / Q16695 / Q6NXT2,H3-7 / H3-3B / H3C12 / H3C13 / H3-4 / H3-5,2,2.56 (95% CI:1.33 to 4.92),2.5598,1.3325,4.9176,3.28588422E-2,1.3561
sp|Q86XA9|HTR5A_HUMAN,Q86XA9,HEATR5A,2,1.73 (95% CI:0.36 to 8.39),1.7291,0.3561,8.3945,4.57458669E-1,0.79
sp|Q8IYT4|KATL2_HUMAN,Q8IYT4,KATNAL2,2,6.18 (95% CI:4.42 to 8.65),6.184,4.4236,8.645,5.19764621E-4,2.6285
sp|Q93096|TP4A1_HUMAN,Q93096,PTP4A1,2,8.57 (95% CI:5.6 to 13.13),8.573,5.5961,13.1334,6.58632314E-4,3.0998
sp|Q9BW04|SARG_HUMAN,Q9BW04,SARG,2,3.07 (95% CI:2.62 to 3.61),3.0726,2.6188,3.6051,2.33201147E-4,1.6195
sp|Q9H3R1|NDST4_HUMAN / sp|O95803|NDST3_HUMAN,Q9H3R1 / O95803,NDST4 / NDST3,2,0.89 (95% CI:0.58 to 1.37),0.8923,0.5811,1.37,5.55323829E-1,-0.1645
sp|Q9HAT2|SIAE_HUMAN,Q9HAT2,SIAE,2,8.29 (95% CI:3.35 to 20.53),8.2928,3.349,20.5346,7.66289695E-3,3.0519
sp|Q9NY65|TBA8_HUMAN,Q9NY65,TUBA8,2,44.26 (95% CI:40.16 to 48.77),44.2572,40.1592,48.7735,2.96225293E-6,5.4678
sp|Q9NZQ3|SPN90_HUMAN,Q9NZQ3,NCKIPSD,2,12.93 (95% CI:5.14 to 32.52),12.9296,5.1412,32.5162,4.38711935E-3,3.6926
sp|Q9UIQ6|LCAP_HUMAN,Q9UIQ6,LNPEP,2,1.53 (95% CI:0.14 to 16.97),1.53,0.1379,16.9708,6.93564148E-1,0.6135
sp|Q9Y6G9|DC1L1_HUMAN,Q9Y6G9,DYNC1LI1,2,11.67 (95% CI:7.15 to 19.05),11.6741,7.1529,19.0532,6.65208414E-4,3.5452
sp|A5PLN9|TPC13_HUMAN,A5PLN9,TRAPPC13,2,234.95 (95% CI:0 to 19114451.53),234.9464,0.0029,19114451.5269,3.19063306E-1,7.8762
sp|P09603|CSF1_HUMAN,P09603,CSF1,2,7.6 (95% CI:2.99 to 19.31),7.596,2.9883,19.308,9.54023654E-3,2.9252
sp|P11274|BCR_HUMAN,P11274,BCR,2,3.02 (95% CI:1.5 to 6.07),3.0162,1.4983,6.0717,2.52195771E-2,1.5927
sp|P25398|RS12_HUMAN,P25398,RPS12,2,12.08 (95% CI:6.09 to 23.96),12.0796,6.0897,23.9614,1.84748991E-3,3.5945
sp|P30039|PBLD_HUMAN,P30039,PBLD,2,7.2 (95% CI:4.58 to 11.31),7.1975,4.582,11.306,1.02153330E-3,2.8475
sp|P30405|PPIF_HUMAN,P30405,PPIF,2,51.17 (95% CI:39.31 to 66.6),51.169,39.3118,66.6025,2.53515621E-5,5.6772
sp|P40227|TCPZ_HUMAN,P40227,CCT6A,2,9.67 (95% CI:8 to 11.7),9.6749,8.0004,11.6998,4.67421647E-5,3.2742
sp|P50539|MXI1_HUMAN,P50539,MXI1,2,24.15 (95% CI:5.82 to 100.16),24.1518,5.8236,100.1633,8.69767986E-3,4.5941
sp|Q02252|MMSA_HUMAN,Q02252,ALDH6A1,2,8.51 (95% CI:5.02 to 14.44),8.5117,5.0161,14.4434,1.31094413E-3,3.0894
sp|Q5K651|SAMD9_HUMAN,Q5K651,SAMD9,2,8.14 (95% CI:2.71 to 24.46),8.1443,2.7116,24.4616,1.43435082E-2,3.0258
sp|Q7LGA3|HS2ST_HUMAN,Q7LGA3,HS2ST1,2,36.07 (95% CI:10.93 to 118.97),36.0674,10.9343,118.9699,3.40715592E-3,5.1726
sp|Q7Z3U7|MON2_HUMAN,Q7Z3U7,MON2,2,6.89 (95% CI:2.45 to 19.43),6.8941,2.4464,19.4282,1.53925093E-2,2.7854
sp|Q86YL5|TDRP_HUMAN,Q86YL5,TDRP,2,35.55 (95% CI:28.55 to 44.26),35.5489,28.5545,44.2566,2.01136410E-5,5.1517
sp|Q8IXI1|MIRO2_HUMAN,Q8IXI1,RHOT2,2,1.91 (95% CI:0.96 to 3.78),1.9056,0.9597,3.7837,9.56495240E-2,0.9302
sp|Q8NF50|DOCK8_HUMAN,Q8NF50,DOCK8,2,0.06 (95% CI:0.05 to 0.06),0.0576,0.0529,0.0628,3.78157736E-6,-4.1178
sp|Q8TCS8|PNPT1_HUMAN,Q8TCS8,PNPT1,2,3.5 (95% CI:0.32 to 38.42),3.5028,0.3193,38.4239,2.85100895E-1,1.8085
sp|Q8TD06|AGR3_HUMAN,Q8TD06,AGR3,2,1.04 (95% CI:0.14 to 7.93),1.042,0.1369,7.9328,9.69549744E-1,0.0593
sp|Q8TEX9|IPO4_HUMAN,Q8TEX9,IPO4,2,3.88 (95% CI:2.56 to 5.89),3.8809,2.5557,5.8932,2.64708362E-3,1.9564
sp|Q96DZ9|CKLF5_HUMAN,Q96DZ9,CMTM5,2,67.34 (95% CI:38.9 to 116.56),67.3382,38.9011,116.563,1.76740190E-4,6.0734
sp|Q96PP9|GBP4_HUMAN,Q96PP9,GBP4,2,10.75 (95% CI:1.68 to 68.83),10.7481,1.6784,68.8265,4.59803034E-2,3.426
sp|Q99542|MMP19_HUMAN,Q99542,MMP19,2,3.79 (95% CI:3.03 to 4.75),3.7933,3.0279,4.7521,4.03425947E-4,1.9235
sp|Q9H7J1|PPR3E_HUMAN,Q9H7J1,PPP1R3E,2,7.52 (95% CI:4.6 to 12.31),7.5229,4.5988,12.3061,1.25894356E-3,2.9113
sp|Q9NRZ7|PLCC_HUMAN,Q9NRZ7,AGPAT3,2,8.64 (95% CI:3.21 to 23.28),8.6385,3.2055,23.2801,9.52282624E-3,3.1108
sp|A0A075B6I9|LV746_HUMAN,A0A075B6I9,IGLV7-46,2,0.12 (95% CI:0.11 to 0.13),0.1228,0.1131,0.1334,6.61595917E-6,-3.0256
sp|O43752|STX6_HUMAN,O43752,STX6,2,1.42 (95% CI:0.37 to 5.45),1.4233,0.3717,5.4494,5.59246229E-1,0.5092
sp|O60684|IMA7_HUMAN,O60684,KPNA6,2,4.99 (95% CI:1.13 to 22.16),4.9939,1.1253,22.1628,6.83189397E-2,2.3202
sp|O94967|WDR47_HUMAN,O94967,WDR47,2,6.18 (95% CI:0.31 to 122.15),6.1781,0.3125,122.1452,2.23058703E-1,2.6272
sp|P01593|KVD33_HUMAN / sp|P01594|KV133_HUMAN,P01593 / P01594,IGKV1D-33 / IGKV1-33,2,0.16 (95% CI:0.12 to 0.21),0.1615,0.1232,0.2117,2.65622671E-4,-2.6302
sp|P02679|FIBG_HUMAN,P02679,FGG,2,2.5 (95% CI:2.26 to 2.77),2.4991,2.2586,2.7652,1.06238156E-4,1.3214
sp|P08648|ITA5_HUMAN,P08648,ITGA5,2,11.01 (95% CI:8.38 to 14.47),11.0113,8.3779,14.4724,1.16775393E-4,3.4609
sp|P11177|ODPB_HUMAN,P11177,PDHB,2,44.46 (95% CI:32.61 to 60.61),44.4601,32.6144,60.608,4.33711344E-5,5.4744
sp|P13929|ENOB_HUMAN,P13929,ENO3,2,18.38 (95% CI:12.05 to 28.04),18.3818,12.0523,28.0353,2.47083255E-4,4.2002
sp|P15289|ARSA_HUMAN,P15289,ARSA,2,4.77 (95% CI:3.64 to 6.25),4.7717,3.642,6.2517,4.32733679E-4,2.2545
sp|P19971|TYPH_HUMAN,P19971,TYMP,2,13.15 (95% CI:11.99 to 14.43),13.1528,11.9912,14.4269,5.48623426E-6,3.7173
sp|P20338|RAB4A_HUMAN,P20338,RAB4A,2,36.76 (95% CI:18.88 to 71.58),36.7603,18.8788,71.5788,5.26777292E-4,5.2001
sp|P51970|NDUA8_HUMAN,P51970,NDUFA8,2,6.92 (95% CI:0.6 to 79.46),6.9192,0.6025,79.4599,1.39072537E-1,2.7906
sp|Q14573|ITPR3_HUMAN,Q14573,ITPR3,2,21.4 (95% CI:16.52 to 27.72),21.3986,16.5185,27.7206,4.80034537E-5,4.4194
sp|Q5T5C0|STXB5_HUMAN,Q5T5C0,STXBP5,2,0.38 (95% CI:0.32 to 0.44),0.3779,0.3223,0.4431,3.62011166E-4,-1.404
sp|Q5TGZ0|MIC10_HUMAN,Q5TGZ0,MICOS10,2,53.57 (95% CI:16.33 to 175.77),53.5715,16.3279,175.7665,2.39174231E-3,5.7434
sp|Q8IWT3|CUL9_HUMAN / sp|Q14999|CUL7_HUMAN,Q8IWT3 / Q14999,CUL9 / CUL7,2,7.35 (95% CI:5.91 to 9.13),7.3456,5.9125,9.1261,1.01733190E-4,2.8769
sp|Q8NEV1|CSK23_HUMAN / sp|P68400|CSK21_HUMAN,Q8NEV1 / P68400,CSNK2A3 / CSNK2A1,2,1.09 (95% CI:0.74 to 1.59),1.0866,0.743,1.5892,6.24857567E-1,0.1199
sp|Q8WU76|SCFD2_HUMAN,Q8WU76,SCFD2,2,2.28 (95% CI:1.72 to 3.01),2.2766,1.7215,3.0107,3.64765427E-3,1.1869
sp|Q8WXG9|AGRV1_HUMAN,Q8WXG9,ADGRV1,2,196190.14 (95% CI:93.6 to 411228109.36),196190.1446,93.5991,411228109.3565,2.44853285E-2,17.5819
sp|Q9NUJ1|ABHDA_HUMAN,Q9NUJ1,ABHD10,2,13.64 (95% CI:7.37 to 25.23),13.6399,7.3732,25.2326,1.12429008E-3,3.7698
sp|Q9UHY1|NRBP_HUMAN,Q9UHY1,NRBP1,2,19.77 (95% CI:17.11 to 22.84),19.7676,17.1068,22.8422,1.10896463E-5,4.3051
sp|Q9Y210|TRPC6_HUMAN,Q9Y210,TRPC6,2,6.84 (95% CI:2.52 to 18.6),6.8407,2.516,18.599,1.39768933E-2,2.7742
sp|A0A0A0MRZ8|KVD11_HUMAN / sp|P04433|KV311_HUMAN,A0A0A0MRZ8 / P04433,IGKV3D-11 / IGKV3-11,2,0.07 (95% CI:0.06 to 0.07),0.0653,0.0598,0.0712,4.29044399E-6,-3.9377
sp|B0I1T2|MYO1G_HUMAN,B0I1T2,MYO1G,2,6.11 (95% CI:5.3 to 7.03),6.1065,5.3047,7.0294,3.79172179E-5,2.6103
sp|O00453|LST1_HUMAN,O00453,LST1,2,6.21 (95% CI:2.22 to 17.37),6.206,2.2171,17.3717,1.78654082E-2,2.6337
sp|O75347|TBCA_HUMAN,O75347,TBCA,2,7.64 (95% CI:4.99 to 11.71),7.6419,4.9856,11.7135,7.80098508E-4,2.9339
sp|P01011|AACT_HUMAN,P01011,SERPINA3,2,0.15 (95% CI:0.13 to 0.18),0.1525,0.1317,0.1766,3.79706409E-5,-2.713
sp|P05386|RLA1_HUMAN,P05386,RPLP1,2,17207.28 (95% CI:2.92 to 101272363.97),17207.2844,2.9237,101272363.9733,6.52723928E-2,14.0707
sp|P08574|CY1_HUMAN,P08574,CYC1,2,20.66 (95% CI:16.14 to 26.45),20.6643,16.143,26.4519,4.33041209E-5,4.3691
sp|P0CG08|GPHRB_HUMAN / sp|B7ZAQ6|GPHRA_HUMAN,P0CG08 / B7ZAQ6,GPR89B / GPR89A,2,1.32 (95% CI:0.67 to 2.6),1.3186,0.6694,2.5975,3.92121918E-1,0.399
sp|P13224|GP1BB_HUMAN,P13224,GP1BB,2,32.62 (95% CI:30.37 to 35.02),32.6161,30.3748,35.0228,2.36799376E-6,5.0275
sp|P24752|THIL_HUMAN,P24752,ACAT1,2,6.46 (95% CI:5.7 to 7.34),6.4647,5.6971,7.3357,2.60353530E-5,2.6926
sp|P49593|PPM1F_HUMAN,P49593,PPM1F,2,15.07 (95% CI:11.49 to 19.76),15.0691,11.4941,19.7561,7.84593095E-5,3.9135
sp|Q13526|PIN1_HUMAN,Q13526,PIN1,2,8.83 (95% CI:6.26 to 12.47),8.8312,6.2551,12.4681,3.25116057E-4,3.1426
sp|Q14289|FAK2_HUMAN,Q14289,PTK2B,2,1.37 (95% CI:0.8 to 2.35),1.3678,0.7976,2.3456,2.42298900E-1,0.4519
sp|Q15118|PDK1_HUMAN,Q15118,PDK1,2,4.83 (95% CI:3.99 to 5.85),4.8267,3.9855,5.8456,1.42638190E-4,2.271
sp|Q58FF8|H90B2_HUMAN,Q58FF8,HSP90AB2P,2,43.39 (95% CI:29.5 to 63.83),43.3944,29.5034,63.8257,8.45800966E-5,5.4394
sp|Q6UXV1|IZUM2_HUMAN,Q6UXV1,IZUMO2,2,0.13 (95% CI:0.08 to 0.21),0.1312,0.0829,0.2075,9.78490931E-4,-2.9306
sp|Q8IXS8|F126B_HUMAN,Q8IXS8,FAM126B,2,3.98 (95% CI:1.29 to 12.26),3.9799,1.292,12.2599,5.15082064E-2,1.9927
sp|Q8N335|GPD1L_HUMAN,Q8N335,GPD1L,2,3.52 (95% CI:1.51 to 8.21),3.5213,1.5102,8.2104,2.99931086E-2,1.8161
sp|Q8WTW3|COG1_HUMAN,Q8WTW3,COG1,2,9.31 (95% CI:6.68 to 12.96),9.3062,6.6828,12.9594,2.65861851E-4,3.2182
sp|Q92608|DOCK2_HUMAN,Q92608,DOCK2,2,7.26 (95% CI:5.81 to 9.06),7.2553,5.8095,9.0608,1.11197593E-4,2.859
sp|Q9H0Z9|RBM38_HUMAN,Q9H0Z9,RBM38,2,0.44 (95% CI:0.36 to 0.52),0.4358,0.3646,0.521,8.39613640E-4,-1.1981
sp|Q9H6N6|MYH16_HUMAN,Q9H6N6,MYH16,2,31.01 (95% CI:16.78 to 57.31),31.0119,16.7826,57.3058,4.77884162E-4,4.9548
sp|Q9NRY4|RHG35_HUMAN,Q9NRY4,ARHGAP35,2,2.78 (95% CI:0.47 to 16.27),2.7762,0.4737,16.271,2.44667352E-1,1.4731
sp|Q9UNS2|CSN3_HUMAN,Q9UNS2,COPS3,2,6.12 (95% CI:2.11 to 17.7),6.1174,2.1138,17.7037,2.00705148E-2,2.6129
sp|O43820|HYAL3_HUMAN,O43820,HYAL3,2,813.95 (95% CI:0.04 to 17400187.9),813.9529,0.0381,17400187.8961,1.88093083E-1,9.6688
sp|O43847|NRDC_HUMAN,O43847,NRDC,2,1.32 (95% CI:0.68 to 2.55),1.3203,0.6823,2.5549,3.79234119E-1,0.4008
sp|O95182|NDUA7_HUMAN,O95182,NDUFA7,2,10.48 (95% CI:9.33 to 11.79),10.4846,9.3268,11.7862,1.18218783E-5,3.3902
sp|P02766|TTHY_HUMAN,P02766,TTR,2,1.57 (95% CI:1.39 to 1.76),1.5661,1.3901,1.7644,1.65135371E-3,0.6472
sp|P05023|AT1A1_HUMAN,P05023,ATP1A1,2,3.84 (95% CI:0.38 to 38.69),3.8351,0.3802,38.6905,2.41781489E-1,1.9393
sp|P0C7M8|CLC2L_HUMAN,P0C7M8,CLEC2L,2,5.36 (95% CI:3.12 to 9.2),5.3609,3.1246,9.1979,3.02598929E-3,2.4225
sp|P10301|RRAS_HUMAN,P10301,RRAS,2,8.22 (95% CI:2.33 to 29),8.2215,2.3307,29.001,2.12614906E-2,3.0394
sp|P16615|AT2A2_HUMAN,P16615,ATP2A2,2,29.08 (95% CI:22.78 to 37.13),29.0798,22.7777,37.1256,3.12874611E-5,4.8619
sp|P48739|PIPNB_HUMAN,P48739,PITPNB,2,10.14 (95% CI:8.55 to 12.03),10.1435,8.5533,12.0293,3.25119296E-5,3.3425
sp|P50579|MAP2_HUMAN,P50579,METAP2,2,4.27 (95% CI:1.56 to 11.72),4.2742,1.5588,11.7201,3.28416573E-2,2.0957
sp|P51149|RAB7A_HUMAN,P51149,RAB7A,2,25.52 (95% CI:21.88 to 29.77),25.5222,21.8789,29.7723,1.05133467E-5,4.6737
sp|Q53HC9|EIPR1_HUMAN,Q53HC9,EIPR1,2,13.97 (95% CI:5.52 to 35.32),13.9673,5.523,35.3219,4.08399439E-3,3.804
sp|Q5W111|SPRY7_HUMAN,Q5W111,SPRYD7,2,11.48 (95% CI:7.41 to 17.8),11.4821,7.4072,17.7987,4.85378675E-4,3.5213
sp|Q7KZI7|MARK2_HUMAN,Q7KZI7,MARK2,2,3.56 (95% CI:1.15 to 11.04),3.561,1.1488,11.0385,6.53843843E-2,1.8323
sp|Q93052|LPP_HUMAN,Q93052,LPP,2,8.63 (95% CI:6.64 to 11.22),8.6338,6.6407,11.225,1.42932196E-4,3.11
sp|Q96AT9|RPE_HUMAN / sp|Q2QD12|RPEL1_HUMAN,Q96AT9 / Q2QD12,RPE / RPEL1,2,5.69 (95% CI:2.91 to 11.14),5.6918,2.9091,11.1363,5.50293201E-3,2.5089
sp|Q96QE2|MYCT_HUMAN,Q96QE2,SLC2A13,2,38.9 (95% CI:0.84 to 1799.52),38.8965,0.8407,1799.5214,9.21160248E-2,5.2816
sp|Q9H2K0|IF3M_HUMAN,Q9H2K0,MTIF3,2,1.43 (95% CI:0.23 to 8.96),1.4315,0.2287,8.9604,6.61737754E-1,0.5175
sp|Q9NS86|LANC2_HUMAN,Q9NS86,LANCL2,2,2.27 (95% CI:1.17 to 4.42),2.2715,1.1663,4.4242,5.11995493E-2,1.1836
sp|Q9UHB6|LIMA1_HUMAN,Q9UHB6,LIMA1,2,6.35 (95% CI:4.27 to 9.46),6.3517,4.2657,9.458,8.45950210E-4,2.6671
sp|Q9Y251|HPSE_HUMAN,Q9Y251,HPSE,2,6.04 (95% CI:1.76 to 20.72),6.0382,1.7599,20.7171,3.16629706E-2,2.5941
sp|Q9Y2Z4|SYYM_HUMAN,Q9Y2Z4,YARS2,2,7.83 (95% CI:2.27 to 27.02),7.8326,2.2706,27.0195,2.16142126E-2,2.9695
tr|A0A075B7D4|A0A075B7D4_HUMAN,A0A075B7D4,IGKV1OR2-108,2,0.18 (95% CI:0.14 to 0.23),0.1782,0.1396,0.2276,2.30243646E-4,-2.488
sp|O15371|EIF3D_HUMAN,O15371,EIF3D,2,5.91 (95% CI:3.57 to 9.79),5.9146,3.5735,9.7895,2.03709943E-3,2.5643
sp|P01833|PIGR_HUMAN,P01833,PIGR,2,0.24 (95% CI:0.16 to 0.35),0.235,0.1562,0.3536,2.00403556E-3,-2.0892
sp|P0C0S8|H2A1_HUMAN / sp|P04908|H2A1B_HUMAN / sp|Q6FI13|H2A2A_HUMAN / sp|P20671|H2A1D_HUMAN / sp|Q9BTM1|H2AJ_HUMAN / sp|Q7L7L0|H2A3_HUMAN / sp|Q99878|H2A1J_HUMAN / sp|Q93077|H2A1C_HUMAN / sp|Q96KK5|H2A1H_HUMAN / sp|Q16777|H2A2C_HUMAN,P0C0S8 / P04908 / Q6FI13 / P20671 / Q9BTM1 / Q7L7L0 / Q99878 / Q93077 / Q96KK5 / Q16777,H2AC17 / H2AC8 / H2AC19 / H2AC7 / H2AJ / H2AW / H2AC14 / H2AC6 / H2AC12 / H2AC20,2,5.14 (95% CI:2.2 to 12.04),5.1417,2.1952,12.0433,1.39564478E-2,2.3623
sp|P29350|PTN6_HUMAN,P29350,PTPN6,2,10.47 (95% CI:8.71 to 12.59),10.4704,8.7081,12.5893,3.88738824E-5,3.3882
sp|P34096|RNAS4_HUMAN,P34096,RNASE4,2,0.87 (95% CI:0.63 to 1.21),0.8738,0.6314,1.2093,3.85386613E-1,-0.1946
sp|P55285|CADH6_HUMAN,P55285,CDH6,2,15.18 (95% CI:11.49 to 20.05),15.1799,11.4933,20.0492,8.44960922E-5,3.9241
sp|P82909|KGD4_HUMAN,P82909,MRPS36,2,7.5 (95% CI:5.37 to 10.47),7.4967,5.3687,10.468,3.77257883E-4,2.9062
sp|P98077|SHC2_HUMAN,P98077,SHC2,2,0.29 (95% CI:0.23 to 0.38),0.2923,0.2256,0.3789,7.90316699E-4,-1.7743
sp|Q14674|ESPL1_HUMAN,Q14674,ESPL1,2,6.09 (95% CI:1.79 to 20.67),6.0851,1.791,20.6746,3.06098039E-2,2.6053
sp|Q6P3W7|SCYL2_HUMAN,Q6P3W7,SCYL2,2,2.63 (95% CI:0.28 to 24.55),2.6307,0.2819,24.5509,3.66574766E-1,1.3954
sp|Q7Z3D6|GLUCM_HUMAN,Q7Z3D6,DGLUCY,2,14.52 (95% CI:6.87 to 30.69),14.518,6.8685,30.6866,1.95190307E-3,3.8598
sp|Q86X83|COMD2_HUMAN,Q86X83,COMMD2,2,14.98 (95% CI:0.93 to 240.01),14.977,0.9346,240.0077,8.76564923E-2,3.9047
