Protein Name,Gene Name,AD ROC,AD q-value,AD direction,PDD ROC,PDD q-value,PDD direction,PD-noMCI ROC,PD-noMCI q-value,PD-noMCI direction,HC ROC,HC q-value,HC direction,Dementia ROC,Dementia q-value,Dementia direction,Parkinson's ROC,Parkinson's q-value,Parkinson's direction
sp|O75683|SURF6_HUMAN,SURF6,0.933333333,0.013318774,decreased,0.69,0.407679478,increased,0.726666667,0.263689886,increased,0.516666667,0.996900209,increased,0.6825,0.521565295,decreased,0.8125,0.011098221,increased
sp|O43665|RGS10_HUMAN,RGS10,0.786666667,0.065226951,decreased,0.543333333,0.907248369,increased,0.8,0.149887913,increased,0.556666667,0.996900209,decreased,0.6825,0.521565295,decreased,0.7575,0.042715271,increased
sp|Q9Y613|FHOD1_HUMAN,FHOD1,0.796666667,0.056399405,decreased,0.553333333,0.876236625,increased,0.706666667,0.296886391,increased,0.536666667,0.996900209,increased,0.6825,0.521565295,decreased,0.695,0.139145353,increased
sp|Q8N2S1|LTBP4_HUMAN,LTBP4,0.623333333,0.466139263,decreased,0.866666667,0.104719773,increased,0.613333333,0.544108172,decreased,0.63,0.996900209,decreased,0.6825,0.521565295,increased,0.69,0.150786512,increased
sp|Q6PEY2|TBA3E_HUMAN,TBA3E,0.743333333,0.122033905,decreased,0.5,1,decreased,0.74,0.248204097,increased,0.503333333,0.996900209,increased,0.6825,0.521565295,decreased,0.68,0.174014854,increased
sp|Q15067|ACOX1_HUMAN,ACOX1,0.636666667,0.412971101,decreased,0.606666667,0.700889568,decreased,0.536666667,0.860031723,decreased,0.78,0.996900209,increased,0.6825,0.521565295,decreased,0.6075,0.453905106,decreased
sp|Q9H0U3|MAGT1_HUMAN,MAGT1,0.656666667,0.34059815,decreased,0.586666667,0.778105369,decreased,0.653333333,0.418142227,increased,0.59,0.996900209,increased,0.6825,0.521565295,decreased,0.55,0.752305046,increased
sp|Q12931|TRAP1_HUMAN,TRAP1,0.686666667,0.244312884,decreased,0.556666667,0.868302204,decreased,0.61,0.554952928,increased,0.633333333,0.996900209,increased,0.6825,0.521565295,decreased,0.54,0.802007185,increased
sp|Q8IXI2|MIRO1_HUMAN,MIRO1,0.596666667,0.572882121,decreased,0.646666667,0.559232228,decreased,0.66,0.391166407,increased,0.583333333,0.996900209,increased,0.6825,0.521565295,decreased,0.51,0.959802349,increased
sp|Q02108|GCYA1_HUMAN,GCYA1,0.926666667,0.013318774,increased,0.66,0.501713435,decreased,0.83,0.125776944,decreased,0.563333333,0.996900209,increased,0.7,0.521565295,increased,0.8675,0.002669723,decreased
sp|Q53T59|H1BP3_HUMAN,H1BP3,0.926666667,0.013318774,increased,0.74,0.282156544,decreased,0.75,0.232736227,decreased,0.563333333,0.996900209,increased,0.64,0.55481179,increased,0.8675,0.002669723,decreased
sp|P62191|PRS4_HUMAN,PRS4,0.82,0.04180991,decreased,0.573333333,0.825762735,increased,0.713333333,0.287242154,increased,0.533333333,0.996900209,increased,0.685,0.521565295,decreased,0.715,0.096582812,increased
sp|P54619|AAKG1_HUMAN,AAKG1,0.92,0.013521454,increased,0.91,0.069179474,decreased,0.603333333,0.579815749,decreased,0.593333333,0.996900209,increased,0.5075,0.983440442,increased,0.885,0.001641648,decreased
sp|Q8IXB1|DJC10_HUMAN,DJC10,0.92,0.013521454,increased,0.77,0.225298222,decreased,0.703333333,0.304112902,decreased,0.553333333,0.996900209,increased,0.6125,0.588178784,increased,0.855,0.003789959,decreased
sp|Q9HBH0|RHOF_HUMAN,RHOF,0.806666667,0.048967261,decreased,0.56,0.859905941,increased,0.723333333,0.271365625,increased,0.523333333,0.996900209,increased,0.685,0.521565295,decreased,0.7125,0.100730506,increased
sp|P42025|ACTY_HUMAN,ACTY,0.82,0.04180991,decreased,0.573333333,0.825762735,increased,0.703333333,0.304112902,increased,0.543333333,0.996900209,increased,0.685,0.521565295,decreased,0.7075,0.109025071,increased
sp|P62714|PP2AB_HUMAN,PP2AB,0.726666667,0.149376238,decreased,0.52,0.956699224,decreased,0.783333333,0.169242965,increased,0.536666667,0.996900209,decreased,0.685,0.521565295,decreased,0.6975,0.133446788,increased
sp|Q96RL7|VP13A_HUMAN,VP13A,0.913333333,0.013521454,increased,0.793333333,0.179536206,decreased,0.803333333,0.143086535,decreased,0.683333333,0.996900209,increased,0.59,0.653470533,increased,0.9475,0.000358235,decreased
sp|P0DPH7|TBA3C_HUMAN / sp|P0DPH8|TBA3D_HUMAN,TBA3C,0.743333333,0.122033905,decreased,0.503333333,0.995613332,decreased,0.74,0.248204097,increased,0.506666667,0.996900209,increased,0.685,0.521565295,decreased,0.6775,0.176557663,increased
sp|P19022|CADH2_HUMAN,CADH2,0.906666667,0.013521454,increased,0.666666667,0.484784693,decreased,0.746666667,0.234191313,decreased,0.506666667,0.996900209,increased,0.68,0.524981523,increased,0.81,0.011725057,decreased
sp|Q71U36|TBA1A_HUMAN,TBA1A,0.733333333,0.138113105,decreased,0.513333333,0.977174843,decreased,0.733333333,0.261796483,increased,0.513333333,0.996900209,increased,0.685,0.521565295,decreased,0.665,0.212429069,increased
sp|P07900|HS90A_HUMAN,HS90A,0.79,0.062628909,decreased,0.543333333,0.907248369,increased,0.663333333,0.380155866,increased,0.583333333,0.996900209,increased,0.685,0.521565295,decreased,0.655,0.248772541,increased
sp|Q14643|ITPR1_HUMAN,ITPR1,0.903333333,0.013521454,increased,0.576666667,0.815722066,decreased,0.786666667,0.169242965,decreased,0.54,0.996900209,decreased,0.745,0.521565295,increased,0.7725,0.031142104,decreased
sp|P00367|DHE3_HUMAN,DHE3,0.71,0.184961813,decreased,0.536666667,0.922960873,decreased,0.713333333,0.287242154,increased,0.533333333,0.996900209,increased,0.685,0.521565295,decreased,0.6325,0.341932788,increased
sp|Q70IA8|MOB3C_HUMAN / sp|Q96BX8|MOB3A_HUMAN / sp|Q86TA1|MOB3B_HUMAN,MOB3C,0.903333333,0.013521454,increased,0.753333333,0.267314181,decreased,0.7,0.309956878,decreased,0.55,0.996900209,increased,0.6125,0.588178784,increased,0.84,0.00540995,decreased
sp|Q9Y496|KIF3A_HUMAN,KIF3A,0.7,0.207653695,decreased,0.546666667,0.899352028,decreased,0.706666667,0.296886391,increased,0.54,0.996900209,increased,0.685,0.521565295,decreased,0.62,0.397160452,increased
sp|O15357|SHIP2_HUMAN,SHIP2,0.903333333,0.013521454,increased,0.856666667,0.104719773,decreased,0.646666667,0.436619814,decreased,0.6,0.996900209,increased,0.535,0.87614951,increased,0.8775,0.002030775,decreased
sp|O75915|PRAF3_HUMAN,PRAF3,0.646666667,0.37384572,decreased,0.6,0.730173911,decreased,0.716666667,0.279015253,increased,0.53,0.996900209,increased,0.685,0.521565295,decreased,0.5875,0.555574922,increased
sp|Q9P253|VPS18_HUMAN,VPS18,0.903333333,0.013521454,increased,0.633333333,0.601068318,decreased,0.783333333,0.169242965,decreased,0.513333333,0.996900209,increased,0.7025,0.521565295,increased,0.8125,0.011098221,decreased
sp|Q6NVY1|HIBCH_HUMAN,HIBCH,0.686666667,0.244312884,decreased,0.56,0.859905941,decreased,0.603333333,0.579815749,increased,0.643333333,0.996900209,increased,0.685,0.521565295,decreased,0.5325,0.839129704,increased
sp|Q9NVK5|FGOP2_HUMAN,FGOP2,0.896666667,0.014780357,increased,0.683333333,0.423268286,decreased,0.686666667,0.327395716,decreased,0.526666667,0.996900209,decreased,0.66,0.540747268,increased,0.7775,0.027902659,decreased
sp|O60256|KPRB_HUMAN,KPRB,0.896666667,0.014780357,increased,0.816666667,0.154269994,decreased,0.77,0.194006802,decreased,0.69,0.996900209,increased,0.56,0.76400269,increased,0.94,0.000402527,decreased
sp|Q5VZ66|JKIP3_HUMAN,JKIP3,0.653333333,0.353875231,decreased,0.593333333,0.755264333,decreased,0.6,0.591265295,increased,0.646666667,0.996900209,increased,0.685,0.521565295,decreased,0.505,0.982734238,increased
sp|Q6ZU65|UBN2_HUMAN,UBN2,0.896666667,0.014780357,increased,0.623333333,0.636459379,decreased,0.683333333,0.331458897,decreased,0.59,0.996900209,decreased,0.705,0.521565295,increased,0.73,0.071747055,decreased
sp|Q8TBE0|BAHD1_HUMAN,BAHD1,0.893333333,0.014950272,increased,0.646666667,0.559232228,decreased,0.833333333,0.125776944,decreased,0.586666667,0.996900209,increased,0.685,0.521565295,increased,0.86,0.003329435,decreased
sp|Q9Y262|EIF3L_HUMAN,EIF3L,0.893333333,0.014950272,increased,0.79,0.179536206,decreased,0.79,0.159982758,decreased,0.686666667,0.996900209,increased,0.5775,0.698558463,increased,0.935,0.000484779,decreased
sp|P11413|G6PD_HUMAN,G6PD,0.79,0.062628909,decreased,0.54,0.915622684,increased,0.83,0.125776944,increased,0.58,0.996900209,decreased,0.6875,0.521565295,decreased,0.7775,0.027902659,increased
sp|Q8TCJ2|STT3B_HUMAN,STT3B,0.823333333,0.039985746,decreased,0.573333333,0.825762735,increased,0.793333333,0.158095946,increased,0.543333333,0.996900209,decreased,0.6875,0.521565295,decreased,0.775,0.029231356,increased
sp|Q16186|ADRM1_HUMAN,ADRM1,0.89,0.015277458,increased,0.746666667,0.267471131,decreased,0.886666667,0.080449741,decreased,0.743333333,0.996900209,increased,0.6075,0.602718804,increased,0.975,0.000346735,decreased
sp|P61163|ACTZ_HUMAN,ACTZ,0.826666667,0.038074575,decreased,0.576666667,0.815722066,increased,0.753333333,0.222920286,increased,0.503333333,0.996900209,decreased,0.6875,0.521565295,decreased,0.7475,0.051921722,increased
sp|P25686|DNJB2_HUMAN,DNJB2,0.773333333,0.080622863,decreased,0.523333333,0.954854768,increased,0.73,0.263689886,increased,0.52,0.996900209,increased,0.6875,0.521565295,decreased,0.69,0.150786512,increased
sp|P50991|TCPD_HUMAN,TCPD,0.743333333,0.122033905,decreased,0.506666667,0.988796416,decreased,0.756666667,0.212548236,increased,0.506666667,0.996900209,decreased,0.6875,0.521565295,decreased,0.6875,0.156011746,increased
sp|Q9C0H2|TTYH3_HUMAN,TTYH3,0.51,0.965364325,decreased,0.74,0.282156544,decreased,0.523333333,0.919572482,increased,0.726666667,0.996900209,increased,0.6875,0.521565295,decreased,0.6625,0.21948831,decreased
sp|Q7Z3G6|PRIC2_HUMAN,PRIC2,0.886666667,0.015740167,increased,0.603333333,0.717991265,decreased,0.813333333,0.136490298,decreased,0.53,0.996900209,increased,0.7125,0.521565295,increased,0.8125,0.011098221,decreased
sp|Q99798|ACON_HUMAN,ACON,0.73,0.143997494,decreased,0.52,0.956699224,decreased,0.72,0.271365625,increased,0.53,0.996900209,increased,0.6875,0.521565295,decreased,0.65,0.268835769,increased
sp|Q9UK55|ZPI_HUMAN,ZPI,0.886666667,0.015740167,increased,0.79,0.179536206,decreased,0.613333333,0.544108172,decreased,0.516666667,0.996900209,increased,0.5725,0.719635524,increased,0.8025,0.014856048,decreased
sp|P53621|COPA_HUMAN,COPA,0.75,0.112995125,decreased,0.5,1,decreased,0.693333333,0.3204817,increased,0.556666667,0.996900209,increased,0.6875,0.521565295,decreased,0.645,0.289208642,increased
sp|P53004|BIEA_HUMAN,BIEA,0.676666667,0.275921463,decreased,0.573333333,0.825762735,decreased,0.72,0.271365625,increased,0.53,0.996900209,increased,0.6875,0.521565295,decreased,0.61,0.442569406,increased
sp|Q9UIJ7|KAD3_HUMAN,KAD3,0.706666667,0.192574956,decreased,0.543333333,0.907248369,decreased,0.6,0.591265295,increased,0.65,0.996900209,increased,0.6875,0.521565295,decreased,0.5425,0.790685814,increased
sp|Q86UT6|NLRX1_HUMAN,NLRX1,0.68,0.264803665,decreased,0.57,0.83536513,decreased,0.533333333,0.872420475,increased,0.716666667,0.996900209,increased,0.6875,0.521565295,decreased,0.5275,0.863352138,decreased
sp|Q9Y6C2|EMIL1_HUMAN,EMIL1,0.696666667,0.21687892,decreased,0.553333333,0.876236625,decreased,0.56,0.752240617,increased,0.69,0.996900209,increased,0.6875,0.521565295,decreased,0.505,0.982734238,increased
sp|Q92616|GCN1_HUMAN,GCN1,0.876666667,0.019158927,increased,0.723333333,0.315106922,decreased,0.773333333,0.19072722,decreased,0.62,0.996900209,increased,0.615,0.586839583,increased,0.8725,0.00246681,decreased
sp|Q9HBL0|TENS1_HUMAN,TENS1,0.893333333,0.014950272,decreased,0.64,0.586177234,increased,0.883333333,0.081626902,increased,0.63,0.996900209,decreased,0.69,0.521565295,decreased,0.8925,0.001315778,increased
sp|P36507|MP2K2_HUMAN,MP2K2,0.973333333,0.013318774,decreased,0.72,0.320539261,increased,0.78,0.177767055,increased,0.526666667,0.996900209,decreased,0.69,0.521565295,decreased,0.875,0.00223861,increased
sp|P19021|AMD_HUMAN,AMD,0.873333333,0.019714194,increased,0.843333333,0.123021463,decreased,0.823333333,0.136490298,decreased,0.793333333,0.996900209,increased,0.5225,0.926945932,increased,1,0.000159221,decreased
sp|P49411|EFTU_HUMAN,EFTU,0.826666667,0.038074575,decreased,0.573333333,0.825762735,increased,0.783333333,0.169242965,increased,0.53,0.996900209,decreased,0.69,0.521565295,decreased,0.7675,0.034546086,increased
sp|Q10471|GALT2_HUMAN,GALT2,0.873333333,0.019714194,increased,0.77,0.225298222,decreased,0.646666667,0.436619814,decreased,0.543333333,0.996900209,increased,0.5775,0.698558463,increased,0.8125,0.011098221,decreased
sp|P49758|RGS6_HUMAN,RGS6,0.746666667,0.117366085,decreased,0.506666667,0.988796416,decreased,0.766666667,0.201772154,increased,0.513333333,0.996900209,decreased,0.69,0.521565295,decreased,0.695,0.139145353,increased
sp|Q9NY65|TBA8_HUMAN,TBA8,0.756666667,0.101629748,decreased,0.503333333,0.995613332,increased,0.733333333,0.261796483,increased,0.52,0.996900209,increased,0.69,0.521565295,decreased,0.6775,0.176557663,increased
sp|O95782|AP2A1_HUMAN,AP2A1,0.87,0.020413513,increased,0.746666667,0.267471131,decreased,0.59,0.632390677,decreased,0.533333333,0.996900209,decreased,0.5925,0.642303162,increased,0.7525,0.04599851,decreased
sp|Q12986|NFX1_HUMAN,NFX1,0.87,0.020413513,increased,0.683333333,0.423268286,decreased,0.703333333,0.304112902,decreased,0.516666667,0.996900209,increased,0.64,0.55481179,increased,0.79,0.019981368,decreased
sp|Q15185|TEBP_HUMAN,TEBP,0.806666667,0.048967261,decreased,0.553333333,0.876236625,increased,0.68,0.341393032,increased,0.573333333,0.996900209,increased,0.69,0.521565295,decreased,0.675,0.183384419,increased
sp|O60268|K0513_HUMAN,K0513,0.706666667,0.192574956,decreased,0.546666667,0.899352028,decreased,0.75,0.232736227,increased,0.503333333,0.996900209,increased,0.69,0.521565295,decreased,0.6525,0.257954744,increased
sp|Q5T5C0|STXB5_HUMAN,STXB5,0.643333333,0.388081113,decreased,0.61,0.695817416,decreased,0.77,0.194006802,increased,0.516666667,0.996900209,decreased,0.69,0.521565295,decreased,0.62,0.397160452,increased
sp|P23368|MAOM_HUMAN,MAOM,0.7,0.207653695,decreased,0.553333333,0.876236625,decreased,0.706666667,0.296886391,increased,0.546666667,0.996900209,increased,0.69,0.521565295,decreased,0.615,0.418759506,increased
sp|P61966|AP1S1_HUMAN,AP1S1,0.776666667,0.075597982,decreased,0.52,0.956699224,increased,0.763333333,0.201772154,increased,0.506666667,0.996900209,decreased,0.6925,0.521565295,decreased,0.7125,0.100730506,increased
sp|P46109|CRKL_HUMAN,CRKL,0.783333333,0.068052241,decreased,0.526666667,0.947882682,increased,0.73,0.263689886,increased,0.526666667,0.996900209,increased,0.6925,0.521565295,decreased,0.6925,0.145549278,increased
sp|O60518|RNBP6_HUMAN,RNBP6,0.82,0.04180991,decreased,0.563333333,0.856571267,increased,0.69,0.321245666,increased,0.566666667,0.996900209,increased,0.6925,0.521565295,decreased,0.69,0.150786512,increased
sp|O15027|SC16A_HUMAN,SC16A,0.866666667,0.020649378,increased,0.786666667,0.188741814,decreased,0.693333333,0.3204817,decreased,0.613333333,0.996900209,increased,0.56,0.76400269,increased,0.86,0.003329435,decreased
sp|P07948|LYN_HUMAN,LYN,0.7,0.207653695,decreased,0.556666667,0.868302204,decreased,0.716666667,0.279015253,increased,0.54,0.996900209,increased,0.6925,0.521565295,decreased,0.62,0.397160452,increased
sp|P98155|VLDLR_HUMAN,VLDLR,0.866666667,0.020649378,increased,0.68,0.439416774,decreased,0.836666667,0.12408519,decreased,0.65,0.996900209,increased,0.64,0.55481179,increased,0.8875,0.001489774,decreased
sp|Q9NV96|CC50A_HUMAN,CC50A,0.743333333,0.122033905,decreased,0.513333333,0.977174843,decreased,0.663333333,0.380155866,increased,0.593333333,0.996900209,increased,0.6925,0.521565295,decreased,0.6125,0.42797993,increased
sp|Q15477|SKIV2_HUMAN,SKIV2,0.863333333,0.02251704,increased,0.726666667,0.305998338,decreased,0.863333333,0.096690819,decreased,0.726666667,0.996900209,increased,0.6025,0.609816225,increased,0.9425,0.000384032,decreased
sp|Q99653|CHP1_HUMAN,CHP1,0.86,0.023605323,increased,0.666666667,0.484784693,decreased,0.57,0.703263112,decreased,0.623333333,0.996900209,decreased,0.645,0.549553016,increased,0.6775,0.176557663,decreased
sp|Q96LW7|CAR19_HUMAN,CAR19,0.533333333,0.875823383,decreased,0.723333333,0.315106922,decreased,0.576666667,0.672885683,increased,0.68,0.996900209,increased,0.6925,0.521565295,decreased,0.61,0.442569406,decreased
sp|O00471|EXOC5_HUMAN,EXOC5,0.86,0.023605323,increased,0.823333333,0.154269994,decreased,0.74,0.248204097,decreased,0.703333333,0.996900209,increased,0.5275,0.909996475,increased,0.9225,0.000576353,decreased
sp|O60313|OPA1_HUMAN,OPA1,0.716666667,0.170457994,decreased,0.54,0.915622684,decreased,0.616666667,0.530500415,increased,0.64,0.996900209,increased,0.6925,0.521565295,decreased,0.5575,0.713644274,increased
sp|P56962|STX17_HUMAN,STX17,0.86,0.023605323,increased,0.75,0.267314181,decreased,0.63,0.48677294,decreased,0.52,0.996900209,increased,0.5825,0.681575709,increased,0.785,0.022992153,decreased
sp|O00170|AIP_HUMAN,AIP,0.856666667,0.024241412,increased,0.71,0.356120505,decreased,0.826666667,0.126620098,decreased,0.68,0.996900209,increased,0.61,0.595893132,increased,0.9025,0.001035957,decreased
sp|Q99961|SH3G1_HUMAN,SH3G1,0.59,0.604773616,decreased,0.666666667,0.484784693,decreased,0.733333333,0.261796483,increased,0.523333333,0.996900209,increased,0.6925,0.521565295,decreased,0.55,0.752305046,increased
sp|P26440|IVD_HUMAN,IVD,0.856666667,0.024241412,increased,0.766666667,0.238366484,decreased,0.583333333,0.649143772,decreased,0.506666667,0.996900209,decreased,0.5675,0.739084018,increased,0.7625,0.038257063,decreased
sp|O94903|PLPHP_HUMAN,PLPHP,0.796666667,0.056399405,decreased,0.536666667,0.922960873,increased,0.85,0.116978434,increased,0.59,0.996900209,decreased,0.695,0.521565295,decreased,0.79,0.019981368,increased
sp|O43488|ARK72_HUMAN,ARK72,0.72,0.163843396,decreased,0.54,0.915622684,decreased,0.783333333,0.169242965,increased,0.523333333,0.996900209,decreased,0.695,0.521565295,decreased,0.6825,0.167379121,increased
sp|P49368|TCPG_HUMAN,TCPG,0.76,0.096787396,decreased,0.5,1,decreased,0.733333333,0.261796483,increased,0.526666667,0.996900209,increased,0.695,0.521565295,decreased,0.675,0.183384419,increased
sp|P08574|CY1_HUMAN,CY1,0.803333333,0.051970109,decreased,0.543333333,0.907248369,increased,0.613333333,0.544108172,increased,0.646666667,0.996900209,increased,0.695,0.521565295,decreased,0.6175,0.407005565,increased
sp|Q06033|ITIH3_HUMAN,ITIH3,0.53,0.883376761,decreased,0.79,0.179536206,increased,0.66,0.391166407,decreased,0.6,0.996900209,decreased,0.695,0.521565295,increased,0.5975,0.510957242,increased
sp|Q8IYB7|DI3L2_HUMAN,DI3L2,0.853333333,0.025598167,increased,0.813333333,0.167130977,decreased,0.553333333,0.782603684,decreased,0.513333333,0.996900209,increased,0.53,0.899748702,increased,0.775,0.029231356,decreased
sp|Q6UWV6|ENPP7_HUMAN / sp|Q9Y6X5|ENPP4_HUMAN,ENPP7,0.853333333,0.025598167,increased,0.636666667,0.59256787,decreased,0.803333333,0.143086535,decreased,0.586666667,0.996900209,increased,0.6625,0.534809545,increased,0.83,0.00720166,decreased
sp|Q9Y4I1|MYO5A_HUMAN,MYO5A,0.853333333,0.025598167,increased,0.696666667,0.396346226,decreased,0.733333333,0.261796483,decreased,0.576666667,0.996900209,increased,0.6175,0.582129533,increased,0.8225,0.008770278,decreased
sp|P04271|S100B_HUMAN,S100B,0.853333333,0.025598167,increased,0.8,0.179536206,decreased,0.756666667,0.212548236,decreased,0.703333333,0.996900209,increased,0.54,0.854896308,increased,0.9175,0.000625455,decreased
sp|Q5JSH3|WDR44_HUMAN,WDR44,0.716666667,0.170457994,decreased,0.543333333,0.907248369,decreased,0.64,0.459851023,increased,0.62,0.996900209,increased,0.695,0.521565295,decreased,0.5725,0.633544158,increased
sp|Q8NCN5|PDPR_HUMAN,PDPR,0.85,0.027672318,increased,0.626666667,0.6258633,decreased,0.663333333,0.380155866,decreased,0.56,0.996900209,decreased,0.6675,0.534809545,increased,0.7175,0.092061193,decreased
sp|P13747|HLAE_HUMAN / sp|P01889|HLAB_HUMAN / sp|P01893|HLAH_HUMAN,HLAE,0.623333333,0.466139263,decreased,0.636666667,0.59256787,decreased,0.543333333,0.827197043,increased,0.716666667,0.996900209,increased,0.695,0.521565295,decreased,0.57,0.647300666,decreased
sp|Q15435|PP1R7_HUMAN,PP1R7,0.513333333,0.95237566,decreased,0.773333333,0.224188135,increased,0.69,0.321245666,decreased,0.57,0.996900209,decreased,0.695,0.521565295,increased,0.5625,0.689724428,increased
sp|Q5SW79|CE170_HUMAN,CE170,0.846666667,0.029011711,increased,0.84,0.123021463,decreased,0.7,0.309956878,decreased,0.693333333,0.996900209,increased,0.505,0.9948082,increased,0.905,0.000976653,decreased
sp|P43686|PRS6B_HUMAN,PRS6B,0.906666667,0.013521454,decreased,0.643333333,0.572098382,increased,0.683333333,0.331458897,increased,0.58,0.996900209,increased,0.6975,0.521565295,decreased,0.745,0.053338857,increased
sp|Q9BPX6|MICU1_HUMAN,MICU1,0.846666667,0.029011711,increased,0.61,0.695817416,decreased,0.91,0.074018832,decreased,0.673333333,0.996900209,increased,0.6775,0.525469234,increased,0.89,0.001448188,decreased
sp|O15226|NKRF_HUMAN,NKRF,0.846666667,0.029011711,increased,0.613333333,0.685932205,decreased,0.793333333,0.158095946,decreased,0.56,0.996900209,increased,0.675,0.526540274,increased,0.805,0.013734296,decreased
sp|P31930|QCR1_HUMAN,QCR1,0.8,0.053720889,decreased,0.536666667,0.922960873,increased,0.766666667,0.201772154,increased,0.503333333,0.996900209,decreased,0.6975,0.521565295,decreased,0.7275,0.075289698,increased
sp|P40197|GPV_HUMAN,GPV,0.843333333,0.031092429,increased,0.723333333,0.315106922,decreased,0.643333333,0.44575261,decreased,0.523333333,0.996900209,increased,0.59,0.653470533,increased,0.775,0.029231356,decreased
sp|Q7L576|CYFP1_HUMAN,CYFP1,0.833333333,0.035607682,decreased,0.57,0.83536513,increased,0.72,0.271365625,increased,0.543333333,0.996900209,increased,0.6975,0.521565295,decreased,0.7175,0.092061193,increased
sp|Q13724|MOGS_HUMAN,MOGS,0.723333333,0.156164101,decreased,0.54,0.915622684,decreased,0.82,0.136490298,increased,0.556666667,0.996900209,decreased,0.6975,0.521565295,decreased,0.71,0.104682375,increased
sp|Q9H1Z4|WDR13_HUMAN,WDR13,0.843333333,0.031092429,increased,0.783333333,0.198601438,decreased,0.51,0.970909944,decreased,0.55,0.996900209,decreased,0.545,0.832412337,increased,0.72,0.08923603,decreased
sp|P46379|BAG6_HUMAN,BAG6,0.696666667,0.21687892,decreased,0.566666667,0.84677824,decreased,0.82,0.136490298,increased,0.556666667,0.996900209,decreased,0.6975,0.521565295,decreased,0.69,0.150786512,increased
sp|Q96FW1|OTUB1_HUMAN,OTUB1,0.826666667,0.038074575,decreased,0.563333333,0.856571267,increased,0.676666667,0.350726838,increased,0.586666667,0.996900209,increased,0.6975,0.521565295,decreased,0.68,0.174014854,increased
sp|Q13363|CTBP1_HUMAN,CTBP1,0.84,0.031853772,increased,0.693333333,0.399659532,decreased,0.77,0.194006802,decreased,0.623333333,0.996900209,increased,0.61,0.595893132,increased,0.8475,0.004669437,decreased
sp|O60888|CUTA_HUMAN,CUTA,0.84,0.031853772,increased,0.596666667,0.745137136,decreased,0.676666667,0.350726838,decreased,0.566666667,0.996900209,decreased,0.6825,0.521565295,increased,0.705,0.114173152,decreased
sp|Q9BQE3|TBA1C_HUMAN,TBA1C,0.73,0.143997494,decreased,0.533333333,0.934120519,decreased,0.726666667,0.263689886,increased,0.536666667,0.996900209,increased,0.6975,0.521565295,decreased,0.645,0.289208642,increased
sp|Q14156|EFR3A_HUMAN,EFR3A,0.84,0.031853772,increased,0.826666667,0.147153087,decreased,0.736666667,0.258213291,decreased,0.723333333,0.996900209,increased,0.51,0.973606248,increased,0.9225,0.000576353,decreased
sp|O75116|ROCK2_HUMAN,ROCK2,0.693333333,0.225272283,decreased,0.57,0.83536513,decreased,0.676666667,0.350726838,increased,0.586666667,0.996900209,increased,0.6975,0.521565295,decreased,0.58,0.596603645,increased
sp|Q9UMR2|DD19B_HUMAN / sp|Q9NUU7|DD19A_HUMAN,DD19B,0.706666667,0.192574956,decreased,0.556666667,0.868302204,decreased,0.633333333,0.475354683,increased,0.63,0.996900209,increased,0.6975,0.521565295,decreased,0.5575,0.713644274,increased
sp|Q8WXE9|STON2_HUMAN,STON2,0.61,0.513743552,decreased,0.653333333,0.521927887,decreased,0.626666667,0.499364893,increased,0.636666667,0.996900209,increased,0.6975,0.521565295,decreased,0.52,0.910333831,decreased
sp|Q8NE86|MCU_HUMAN,MCU,0.68,0.264803665,decreased,0.583333333,0.789512494,decreased,0.61,0.554952928,increased,0.653333333,0.996900209,increased,0.6975,0.521565295,decreased,0.52,0.910333831,increased
sp|Q9BQB6|VKOR1_HUMAN,VKOR1,0.816666667,0.042803235,decreased,0.55,0.887826339,increased,0.71,0.296030692,increased,0.556666667,0.996900209,increased,0.7,0.521565295,decreased,0.695,0.139145353,increased
sp|Q9H4E7|DEFI6_HUMAN,DEFI6,0.836666667,0.033650221,increased,0.646666667,0.559232228,decreased,0.753333333,0.222920286,decreased,0.563333333,0.996900209,increased,0.6425,0.55481179,increased,0.8,0.015626575,decreased
sp|Q9UJU6|DBNL_HUMAN,DBNL,0.733333333,0.138113105,decreased,0.533333333,0.934120519,decreased,0.71,0.296030692,increased,0.556666667,0.996900209,increased,0.7,0.521565295,decreased,0.6325,0.341932788,increased
sp|P42858|HD_HUMAN,HD,0.836666667,0.033650221,increased,0.713333333,0.346485848,decreased,0.713333333,0.287242154,decreased,0.59,0.996900209,increased,0.5925,0.642303162,increased,0.82,0.009557123,decreased
sp|P20962|PTMS_HUMAN,PTMS,0.836666667,0.033650221,increased,0.746666667,0.267471131,decreased,0.756666667,0.212548236,decreased,0.666666667,0.996900209,increased,0.5675,0.739084018,increased,0.8775,0.002030775,decreased
sp|P19086|GNAZ_HUMAN,GNAZ,0.73,0.143997494,decreased,0.536666667,0.922960873,decreased,0.67,0.367680691,increased,0.596666667,0.996900209,increased,0.7,0.521565295,decreased,0.6,0.497002936,increased
sp|Q14152|EIF3A_HUMAN,EIF3A,0.833333333,0.035607682,increased,0.776666667,0.216294227,decreased,0.6,0.591265295,decreased,0.543333333,0.996900209,increased,0.5425,0.841376357,increased,0.7825,0.024599111,decreased
sp|P02776|PLF4_HUMAN / sp|P10720|PF4V_HUMAN,PLF4,0.63,0.438294329,decreased,0.636666667,0.59256787,decreased,0.71,0.296030692,increased,0.556666667,0.996900209,increased,0.7,0.521565295,decreased,0.555,0.725207243,increased
