Protein Name,Gene Name,AD ROC,AD q-value,AD direction,PDD ROC,PDD q-value,PDD direction,PD-noMCI ROC,PD-noMCI q-value,PD-noMCI direction,HC ROC,HC q-value,HC direction,Dementia ROC,Dementia q-value,Dementia direction,Parkinson's ROC,Parkinson's q-value,Parkinson's direction
sp|Q15006|EMC2_HUMAN,EMC2,0.546666667,0.815226592,decreased,0.523333333,0.954854768,decreased,0.626666667,0.499364893,increased,0.556666667,0.996900209,decreased,0.5525,0.797361104,decreased,0.5775,0.607038462,increased
sp|Q07960|RHG01_HUMAN,RHG01,0.56,0.750591871,decreased,0.51,0.983073469,decreased,0.593333333,0.619664707,increased,0.523333333,0.996900209,decreased,0.5525,0.797361104,decreased,0.5625,0.689724428,increased
sp|Q9BWD1|THIC_HUMAN,THIC,0.563333333,0.733320179,increased,0.633333333,0.601068318,decreased,0.506666667,0.984480413,decreased,0.576666667,0.996900209,increased,0.5525,0.797361104,decreased,0.605,0.468271493,decreased
sp|Q9UKN7|MYO15_HUMAN,MYO15,0.62,0.476259127,decreased,0.55,0.887826339,increased,0.533333333,0.872420475,increased,0.536666667,0.996900209,increased,0.5525,0.797361104,decreased,0.5625,0.689724428,increased
sp|Q99598|TSNAX_HUMAN,TSNAX,0.563333333,0.733320179,increased,0.593333333,0.755264333,decreased,0.506666667,0.984480413,decreased,0.536666667,0.996900209,increased,0.5225,0.926945932,decreased,0.575,0.622188737,decreased
sp|Q00577|PURA_HUMAN,PURA,0.543333333,0.827616727,decreased,0.526666667,0.947882682,decreased,0.603333333,0.579815749,increased,0.533333333,0.996900209,decreased,0.5525,0.797361104,decreased,0.5575,0.713644274,increased
sp|P61204|ARF3_HUMAN / sp|P84077|ARF1_HUMAN,ARF3,0.56,0.750591871,increased,0.593333333,0.755264333,decreased,0.583333333,0.649143772,decreased,0.616666667,0.996900209,increased,0.525,0.918757282,decreased,0.6325,0.341932788,decreased
sp|Q9UKY7|CDV3_HUMAN,CDV3,0.56,0.750591871,increased,0.623333333,0.636459379,decreased,0.606666667,0.566023002,increased,0.543333333,0.996900209,decreased,0.5475,0.818755302,decreased,0.5125,0.950158038,decreased
sp|Q9NUK0|MBNL3_HUMAN / sp|Q5VZF2|MBNL2_HUMAN / sp|Q9NR56|MBNL1_HUMAN,MBNL3,0.5,1,decreased,0.57,0.83536513,decreased,0.583333333,0.649143772,increased,0.513333333,0.996900209,decreased,0.5525,0.797361104,decreased,0.51,0.959802349,increased
sp|Q504Y2|PKDCC_HUMAN,PKDCC,0.63,0.438294329,decreased,0.56,0.859905941,increased,0.546666667,0.811452395,decreased,0.616666667,0.996900209,increased,0.5525,0.797361104,decreased,0.51,0.959802349,increased
sp|P26196|DDX6_HUMAN,DDX6,0.56,0.750591871,increased,0.853333333,0.104719773,decreased,0.553333333,0.782603684,increased,0.74,0.996900209,increased,0.72,0.521565295,decreased,0.725,0.079357474,decreased
sp|P14625|ENPL_HUMAN,ENPL,0.56,0.750591871,increased,0.706666667,0.363328388,increased,0.72,0.271365625,decreased,0.546666667,0.996900209,decreased,0.7,0.521565295,increased,0.51,0.959802349,decreased
sp|P16591|FER_HUMAN,FER,0.56,0.750591871,increased,0.73,0.301137616,increased,0.633333333,0.475354683,decreased,0.656666667,0.996900209,decreased,0.7175,0.521565295,increased,0.5725,0.633544158,increased
sp|P13805|TNNT1_HUMAN,TNNT1,0.8,0.053720889,decreased,0.733333333,0.296039905,increased,0.696666667,0.310251449,increased,0.63,0.996900209,decreased,0.55,0.806907832,decreased,0.8225,0.008770278,increased
sp|Q16795|NDUA9_HUMAN,NDUA9,0.73,0.143997494,decreased,0.663333333,0.496935773,increased,0.66,0.391166407,increased,0.593333333,0.996900209,decreased,0.55,0.806907832,decreased,0.7425,0.055480012,increased
sp|O94929|ABLM3_HUMAN,ABLM3,0.646666667,0.37384572,decreased,0.58,0.79872244,increased,0.686666667,0.327395716,increased,0.62,0.996900209,decreased,0.55,0.806907832,decreased,0.7,0.127099088,increased
sp|Q9Y608|LRRF2_HUMAN,LRRF2,0.56,0.750591871,increased,0.61,0.695817416,decreased,0.53,0.886335439,increased,0.52,0.996900209,increased,0.5375,0.868799178,decreased,0.56,0.702882475,decreased
sp|Q8WWZ8|OIT3_HUMAN,OIT3,0.56,0.750591871,increased,0.62,0.649489131,decreased,0.616666667,0.530500415,decreased,0.676666667,0.996900209,increased,0.545,0.832412337,decreased,0.6775,0.176557663,decreased
sp|P27918|PROP_HUMAN,PROP,0.56,0.750591871,increased,0.633333333,0.601068318,increased,0.6,0.591265295,decreased,0.593333333,0.996900209,decreased,0.645,0.549553016,increased,0.525,0.878980496,increased
sp|P11940|PABP1_HUMAN,PABP1,0.706666667,0.192574956,decreased,0.64,0.586177234,increased,0.603333333,0.579815749,increased,0.536666667,0.996900209,decreased,0.55,0.806907832,decreased,0.6825,0.167379121,increased
sp|Q13200|PSMD2_HUMAN,PSMD2,0.56,0.750591871,increased,0.59,0.771220591,decreased,0.523333333,0.919572482,increased,0.506666667,0.996900209,increased,0.5225,0.926945932,decreased,0.55,0.752305046,decreased
sp|Q8TER0|SNED1_HUMAN,SNED1,0.683333333,0.253136088,decreased,0.75,0.267314181,increased,0.516666667,0.942954422,decreased,0.55,0.996900209,decreased,0.55,0.806907832,increased,0.675,0.183384419,increased
sp|Q9NRY4|RHG35_HUMAN,RHG35,0.56,0.750591871,increased,0.56,0.859905941,decreased,0.683333333,0.331458897,decreased,0.683333333,0.996900209,increased,0.5,1,decreased,0.6825,0.167379121,decreased
sp|P09972|ALDOC_HUMAN,ALDOC,0.636666667,0.412971101,decreased,0.57,0.83536513,increased,0.593333333,0.619664707,increased,0.526666667,0.996900209,decreased,0.55,0.806907832,decreased,0.6225,0.388880521,increased
sp|Q14563|SEM3A_HUMAN,SEM3A,0.56,0.750591871,increased,0.52,0.956699224,increased,0.526666667,0.902617362,increased,0.606666667,0.996900209,decreased,0.56,0.76400269,increased,0.535,0.825220622,increased
sp|P37840|SYUA_HUMAN,SYUA,0.573333333,0.68524833,decreased,0.64,0.586177234,increased,0.516666667,0.942954422,increased,0.583333333,0.996900209,decreased,0.55,0.806907832,increased,0.6175,0.407005565,increased
sp|P06733|ENOA_HUMAN,ENOA,0.566666667,0.715258378,decreased,0.5,1,decreased,0.653333333,0.418142227,increased,0.586666667,0.996900209,decreased,0.55,0.806907832,decreased,0.615,0.418759506,increased
sp|Q5T4D3|TMTC4_HUMAN,TMTC4,0.56,0.750591871,increased,0.543333333,0.907248369,decreased,0.59,0.632390677,decreased,0.573333333,0.996900209,increased,0.5125,0.964449385,increased,0.6,0.497002936,decreased
sp|Q9UEY8|ADDG_HUMAN,ADDG,0.516666667,0.943381872,decreased,0.583333333,0.789512494,increased,0.553333333,0.782603684,increased,0.62,0.996900209,decreased,0.55,0.806907832,increased,0.6025,0.481433862,increased
sp|P55001|MFAP2_HUMAN,MFAP2,0.586666667,0.619584523,decreased,0.653333333,0.521927887,increased,0.553333333,0.782603684,decreased,0.513333333,0.996900209,decreased,0.55,0.806907832,increased,0.575,0.622188737,increased
sp|O15240|VGF_HUMAN,VGF,0.56,0.750591871,increased,0.63,0.618560545,decreased,0.533333333,0.872420475,decreased,0.603333333,0.996900209,increased,0.5525,0.797361104,decreased,0.6225,0.388880521,decreased
sp|P63151|2ABA_HUMAN,2ABA,0.556666667,0.770777214,increased,0.576666667,0.815722066,decreased,0.56,0.752240617,decreased,0.58,0.996900209,increased,0.515,0.954224132,decreased,0.6025,0.481433862,decreased
sp|Q15057|ACAP2_HUMAN,ACAP2,0.556666667,0.770777214,increased,0.616666667,0.666884125,increased,0.53,0.886335439,increased,0.703333333,0.996900209,decreased,0.63,0.568701462,increased,0.61,0.442569406,increased
sp|Q9ULH1|ASAP1_HUMAN,ASAP1,0.556666667,0.770777214,increased,0.69,0.407679478,decreased,0.503333333,0.992623502,decreased,0.636666667,0.996900209,increased,0.6,0.617808641,decreased,0.645,0.289208642,decreased
sp|P98194|AT2C1_HUMAN,AT2C1,0.556666667,0.770777214,increased,0.71,0.356120505,decreased,0.623333333,0.510914218,increased,0.53,0.996900209,increased,0.615,0.586839583,decreased,0.565,0.673419216,decreased
sp|P12111|CO6A3_HUMAN,CO6A3,0.556666667,0.770777214,increased,0.76,0.259251954,increased,0.813333333,0.136490298,decreased,0.503333333,0.996900209,decreased,0.7375,0.521565295,increased,0.54,0.802007185,decreased
sp|Q8N128|F177A_HUMAN,F177A,0.6,0.558110232,decreased,0.666666667,0.484784693,increased,0.59,0.632390677,decreased,0.523333333,0.996900209,increased,0.55,0.806907832,increased,0.5575,0.713644274,increased
sp|P25398|RS12_HUMAN,RS12,0.52,0.928173789,decreased,0.546666667,0.899352028,decreased,0.62,0.523169459,increased,0.553333333,0.996900209,decreased,0.55,0.806907832,decreased,0.555,0.725207243,increased
sp|Q5QP82|DCA10_HUMAN,DCA10,0.55,0.799788994,decreased,0.516666667,0.96525993,decreased,0.59,0.632390677,increased,0.523333333,0.996900209,decreased,0.55,0.806907832,decreased,0.555,0.725207243,increased
sp|Q7Z7G0|TARSH_HUMAN,TARSH,0.553333333,0.788472164,decreased,0.62,0.649489131,increased,0.56,0.752240617,decreased,0.506666667,0.996900209,decreased,0.55,0.806907832,increased,0.545,0.78011418,increased
sp|O43306|ADCY6_HUMAN,ADCY6,0.526666667,0.899639831,decreased,0.54,0.915622684,decreased,0.586666667,0.64232523,increased,0.52,0.996900209,decreased,0.55,0.806907832,decreased,0.535,0.825220622,increased
sp|Q9UHQ9|NB5R1_HUMAN,NB5R1,0.556666667,0.770777214,increased,0.606666667,0.700889568,decreased,0.553333333,0.782603684,decreased,0.603333333,0.996900209,increased,0.5375,0.868799178,decreased,0.62,0.397160452,decreased
sp|P11182|ODB2_HUMAN,ODB2,0.556666667,0.770777214,increased,0.666666667,0.484784693,decreased,0.556666667,0.76786076,increased,0.553333333,0.996900209,increased,0.5825,0.681575709,decreased,0.5825,0.583568433,decreased
sp|Q5T5U3|RHG21_HUMAN,RHG21,0.556666667,0.770777214,increased,0.573333333,0.825762735,decreased,0.57,0.703263112,increased,0.553333333,0.996900209,decreased,0.5125,0.964449385,decreased,0.5025,0.996438721,decreased
sp|P49747|COMP_HUMAN,COMP,0.556666667,0.770777214,decreased,0.623333333,0.636459379,increased,0.576666667,0.672885683,decreased,0.51,0.996900209,increased,0.55,0.806907832,increased,0.535,0.825220622,increased
sp|P40227|TCPZ_HUMAN,TCPZ,0.556666667,0.770777214,increased,0.52,0.956699224,decreased,0.57,0.703263112,decreased,0.533333333,0.996900209,increased,0.5275,0.909996475,increased,0.5675,0.660336376,decreased
sp|Q9NPY3|C1QR1_HUMAN,C1QR1,0.53,0.883376761,decreased,0.596666667,0.745137136,increased,0.556666667,0.76786076,decreased,0.51,0.996900209,decreased,0.55,0.806907832,increased,0.53,0.852120041,increased
sp|P53680|AP2S1_HUMAN,AP2S1,0.5,1,decreased,0.566666667,0.84677824,decreased,0.6,0.591265295,increased,0.533333333,0.996900209,decreased,0.55,0.806907832,decreased,0.525,0.878980496,increased
sp|Q9UJ41|RABX5_HUMAN,RABX5,0.503333333,0.995185111,decreased,0.563333333,0.856571267,decreased,0.583333333,0.649143772,increased,0.516666667,0.996900209,decreased,0.55,0.806907832,decreased,0.515,0.937764523,increased
sp|P12429|ANXA3_HUMAN,ANXA3,0.553333333,0.788472164,increased,0.536666667,0.922960873,increased,0.586666667,0.64232523,decreased,0.503333333,0.996900209,decreased,0.5675,0.739084018,increased,0.5375,0.814472066,decreased
sp|Q8IZD0|SAM14_HUMAN,SAM14,0.56,0.750591871,decreased,0.506666667,0.988796416,decreased,0.503333333,0.992623502,decreased,0.57,0.996900209,increased,0.55,0.806907832,decreased,0.5075,0.97479101,decreased
sp|Q9NXR7|BABA2_HUMAN,BABA2,0.553333333,0.788472164,increased,0.55,0.887826339,decreased,0.596666667,0.60413743,decreased,0.593333333,0.996900209,increased,0.5025,1,increased,0.61,0.442569406,decreased
sp|Q16775|GLO2_HUMAN,GLO2,0.726666667,0.149376238,decreased,0.79,0.179536206,increased,0.666666667,0.374866276,increased,0.73,0.996900209,decreased,0.5475,0.818755302,increased,0.8425,0.005104125,increased
sp|P52209|6PGD_HUMAN,6PGD,0.906666667,0.013521454,decreased,0.843333333,0.123021463,increased,0.613333333,0.544108172,increased,0.55,0.996900209,decreased,0.5475,0.818755302,decreased,0.8425,0.005104125,increased
sp|Q5TCZ1|SPD2A_HUMAN,SPD2A,0.856666667,0.024241412,decreased,0.793333333,0.179536206,increased,0.62,0.523169459,increased,0.556666667,0.996900209,decreased,0.5475,0.818755302,decreased,0.81,0.011725057,increased
sp|Q96BS2|CHP3_HUMAN,CHP3,0.736666667,0.132268441,decreased,0.673333333,0.460502445,increased,0.703333333,0.304112902,increased,0.64,0.996900209,decreased,0.5475,0.818755302,decreased,0.7825,0.024599111,increased
sp|P18084|ITB5_HUMAN,ITB5,0.553333333,0.788472164,increased,0.6,0.730173911,decreased,0.52,0.932451087,increased,0.526666667,0.996900209,increased,0.535,0.87614951,decreased,0.56,0.702882475,decreased
