"","TPAD1010","TPAD1016","TPAD1022","TPAD1008","TPAD1036","TPAD1040","TPAD1021","TPAD1012","TPAD1037","TPAD1025","TPAD1013","TPAD1035","TPAD1018","TPAD1007","TPAD1030","TPAD1039","TPAD1028","TPAD1005","TPAD1004","TPAD1017","TPAD1001","TPAD1011","TPAD1026","TPAD1032","TPAD1019","TPAD1033","TPAD1006","TPAD1024","TPAD1002","TPAD1038","TPAD1031","TPAD1034","TPAD1015","TPAD1027","TPAD1029","TPAD1003","TPAD1009","TPAD1014","TPAD1023","TPAD1020"
"sp|P18433|PTPRA_HUMAN",23.538241414764,23.3732087888817,23.0885609968168,23.6737380611135,23.0634405834465,23.705816275198,23.3472774837419,23.9849341990084,23.8634445471086,23.1766830971476,23.5909406382254,23.0872991533954,23.4363031371569,23.1544837671912,23.3903149839043,23.2350781069989,22.6147186533404,22.8107903062151,23.157268707764,23.7117563264199,23.2211510307549,23.6697269818111,22.8749606575127,22.8636015181854,23.8682631013943,23.4497304374349,23.484994978045,23.1401214644976,23.1973064816688,22.7131769762342,24.5859762746287,23.1848211137032,23.6626579277777,22.9625511987382,22.6172732600078,22.5361368047769,22.7707261196183,23.7929401320161,23.1282530435425,23.0910563106492
"sp|P49589|SYCC_HUMAN",20.6592538878599,21.0214634389516,21.3759863637638,21.5923768121776,20.8801014401276,21.1150620123037,20.3612262254028,22.8207862615804,21.2787678845312,22.1029565280848,21.6606028586448,20.4876472973796,21.910154288469,21.7293071347459,21.0435346699087,20.9997259831716,21.132794754907,21.3281605655886,22.1220808846175,21.6751932912221,21.7946359514571,20.4720040153082,22.4690203989366,21.1998508273387,21.122842905105,21.2180817640728,22.4852203175727,21.6077784341385,21.0776918285108,22.0939974800991,22.2453605840373,21.9154151234903,20.8304970427644,21.8165584774948,22.1519916019298,21.7049835832969,22.7993603816318,21.7635913938817,20.8606054096245,20.7509596664028
"sp|P57053|H2BFS_HUMAN / sp|Q99879|H2B1M_HUMAN / sp|Q5QNW6|H2B2F_HUMAN / sp|P62807|H2B1C_HUMAN / sp|O60814|H2B1K_HUMAN / sp|Q99877|H2B1N_HUMAN / sp|Q99880|H2B1L_HUMAN / sp|Q93079|H2B1H_HUMAN / sp|P58876|H2B1D_HUMAN",24.1054951753534,24.5975409358896,24.2614920940043,25.1103841022266,23.878219379882,23.490696462582,24.9983486683623,24.0344376875889,22.7577593049871,28.0229656602374,23.3366804110905,24.5246823607644,23.1461520164942,25.0021329495333,23.7864663482451,25.2833971314215,22.6387802544441,26.3037294592998,24.170056012797,23.0003997411166,24.0448826937675,23.5762389044943,24.7487857353754,24.5170592680815,28.3865457917294,24.3896217243175,25.3744314627721,24.2309359477006,27.1973209393171,23.7307741849992,24.5805528938958,23.3881931703939,25.2772249617345,22.8128521537581,24.2210417677648,22.814125976553,25.8987707237132,24.0792026013851,24.1886805645873,24.2233687245
"sp|P78406|RAE1L_HUMAN",16.4347352448443,18.1263751962202,16.1545642181976,16.9723232063242,16.9898740427999,16.5586137943001,17.414341314478,17.5006945207539,18.3748867023804,16.0262810101134,17.0872706753512,17.374000419606,16.4670490586329,16.848986920162,16.0602397996213,16.3555277243259,16.6451647947564,16.874768095773,16.3240338841112,18.002007371256,16.6006997455209,17.5607476757279,15.8156830162643,15.9566583170981,17.7554380379549,16.58192472639,16.4771608374854,16.7231676124445,16.9764957869999,13.7305858261883,16.7285048014143,16.6871876967498,15.8330199466915,16.2407261738957,16.6922947638712,17.7174268849193,17.2632385954797,19.0012710258635,16.1840729182333,16.3402235302704
"sp|Q15057|ACAP2_HUMAN",22.2593426617414,23.8218226239891,22.7095562188796,24.0313942430346,23.7730087964188,22.0112657927407,21.6938289243243,24.7240477452221,21.1197705630422,21.2858084583645,24.6604750055027,21.2326654329905,21.3132175951477,21.830980442298,21.3258871103504,20.988078926165,21.369776269433,22.5505149380538,21.1340244935819,22.3033583689649,21.4618312114727,21.1409886762003,21.2043871870948,20.8621628118554,21.0185673815916,21.1349526325049,21.2057509163996,21.1559655439828,20.9581277061825,20.728049272837,20.9165254318721,21.1865702560318,21.6865529682622,22.0427041294969,21.6793536139891,21.4752195873609,21.4026182228547,19.5802157349868,19.9370769525468,20.6828322898831
"sp|Q8IVW4|CDKL3_HUMAN",20.424085025123,20.7552316458243,19.4774852323323,20.9333950632985,21.018482357243,19.8691182368324,20.028183445097,21.259147811785,19.6313679395809,20.1328643047401,21.6821175517573,20.43262074394,19.8757280630924,20.2469979630477,20.966475102427,21.5182838450895,19.4732098012199,21.3110809417042,20.2940273240023,20.7170375706054,19.5026474078569,20.1344158806432,20.1195469834436,20.4188813141842,20.5331054603951,19.1494542666839,19.6258071219699,20.1730396656378,20.6492408723458,21.0594257085737,21.0024805166718,19.7751891381685,21.4456092281219,20.2024046159231,20.0160711391488,19.4127870101564,20.0699109009724,21.1903771391136,19.5995595289564,21.2870428860001
"sp|Q8IYT4|KATL2_HUMAN",28.3295100346218,27.8651325373549,28.4116053851911,28.6783074631476,28.2012481777096,27.7482955403321,28.7435262209795,28.689746048434,27.2205938910905,28.0566274528243,28.0072612534337,28.0410188621197,27.1695575610151,28.2512245175533,28.1513450717001,28.3782422162428,27.6056382132384,28.3674255646582,28.3602435961915,28.1821572858564,27.6571551064571,27.6058541245939,28.1314666699778,28.2926142124062,27.8986127438409,27.2832059033739,27.866989184155,28.1027700038999,28.469547505243,28.1956538568996,28.155496657889,27.6119614840631,28.2924200240512,27.9480910421145,28.3251742280876,28.3589032030204,28.1729390004847,28.0908351682663,27.3485488973516,28.3913695520127
"sp|Q93096|TP4A1_HUMAN",20.2187522897381,20.6519050149836,20.7873778113488,20.0375712954259,20.6424082012561,20.441780250478,20.464909548296,20.6768744932161,21.2612617712062,21.4677676717178,20.2701812557489,20.0244643672031,20.8079232709878,20.5233734131828,20.4312536902107,20.3091175507951,21.5439238563035,20.6720350224656,21.1093460392536,21.6650658451647,20.8751767658064,20.6505393050767,20.6886674682286,21.1324048913237,20.8637283013743,21.8637959420325,20.4245381710412,20.6997648785883,20.1236974990165,19.3627464784,19.6761253669955,20.9476194923342,20.6276824884602,20.908764842357,20.6363608291302,20.4212490992703,20.8279945366275,19.8748219461625,21.0420531355378,20.7615183548336
"sp|Q9H3R1|NDST4_HUMAN / sp|O95803|NDST3_HUMAN",21.9992951646493,20.2515798885942,20.3037511536738,21.8692294217085,27.5040755855399,21.3086514516192,21.2507341078892,20.2902594376498,21.1132134552267,21.4433464198683,21.2780673423206,20.6961022590143,20.25051770958,21.6949324726924,21.5466157136286,22.6125724388089,21.7252036676889,20.521124333268,21.5178711141414,20.8954044595371,21.2906814758866,20.8550292649778,23.7320460213841,20.7369936651566,20.584709301073,21.5272275750302,21.6778333298769,21.5746122745786,23.3608535208717,20.6025392608904,21.1605566080215,21.7962225705203,20.3598500551039,21.4473580686646,21.5552789014573,21.6269341130941,21.3905697807356,22.6745935384188,21.7101468497315,18.6689784258935
"sp|Q9NY65|TBA8_HUMAN",30.2881342519095,30.3156809304204,30.7510947638281,30.1664720364007,30.4503884779182,30.7201578440648,30.1754288939479,28.2040943306664,30.9693680886344,30.4416085755114,29.850093637014,30.3411269785308,30.5296003875182,30.386777062037,30.4263081782232,29.8753300864375,30.7395306595774,30.2017473307247,30.3962564532582,29.7794774132517,30.6205395697418,30.5468474259825,30.4250953635928,29.8389169121142,30.3815758006513,30.9585863115208,30.3533463616788,30.7982662052203,30.5894413874654,30.1067386157455,30.0165830035181,30.5538156643472,29.4123736893999,30.7403352748377,30.2868553714876,30.3796362949896,30.4854198721646,30.1890213496949,30.6693991069675,30.2277901617364
"sp|Q9NZQ3|SPN90_HUMAN",21.7167810330828,22.7592996244626,22.2479050690407,21.6055174441967,21.4518628460095,22.3641098460395,21.4139203149226,21.2294500897,22.8968100638451,21.6659330961436,22.1430175267195,22.3327316970385,22.5563571393997,21.7883763920944,21.2032806709241,21.172202873466,22.2754563951255,21.7837960897464,21.7257397583008,22.593323470909,22.0415161605034,22.5953101066335,20.939599821621,21.1096458523717,22.4223698554512,22.9655844150638,22.0408980858851,21.7635954168248,21.3303729515398,20.9142991115894,22.0814279286926,22.3575566724704,22.0743574120967,22.1469659706612,20.7576164414585,21.9907942544887,21.859971751106,22.1807576894623,22.401368505156,23.0528899921427
"sp|Q9Y6G9|DC1L1_HUMAN",19.8116701015023,20.383074695917,19.8947118770633,20.9937947403284,19.8045750903622,21.1916895688029,20.0130970919434,17.7379889916188,21.2414946797051,20.1658079178653,17.9439279613088,18.6560650397314,21.0839395784595,19.7602081331072,19.2368990562648,16.9976822832178,19.7283475210343,18.9431897480409,19.0176072196511,18.3533706412059,19.3491591709938,19.3311657567921,19.5789742315219,16.7143845846809,19.709236194057,21.3757259611623,20.2189046353448,21.1907808731374,19.4632396644404,19.2634581955267,19.7907054002131,20.4590891271428,13.8093853695357,18.9973810533234,18.2029033399938,20.3355617529508,19.7087461647121,19.6017146338962,20.2554065092035,19.1771276253292
"sp|P25398|RS12_HUMAN",19.4366351334645,20.0411415313805,19.9812629755177,20.110916669881,19.5283953013683,20.1854469744033,19.503912221111,19.727627482267,21.1675232292011,20.5672890947614,20.9735344921723,18.9243625947174,20.4234401192344,19.9497423115476,20.4165989351621,19.161752519684,21.0447669486683,19.362211841779,20.2962333871671,22.1937273001682,20.0811996883202,20.2903132718581,19.6813722472266,20.3397590421961,19.1868048706303,21.0341421967619,20.0954671799616,20.0783185556424,19.6910376275471,19.2487446380629,19.3965107710668,20.4982738373589,19.8533842682621,19.717796324063,20.4353456500993,20.0111297861774,20.4628494896308,19.5989507628748,20.7867587353606,18.6037855672585
"sp|P30405|PPIF_HUMAN",25.8896083746514,26.1424804925704,26.4025531534967,25.8044142500495,26.500486250143,26.7131592891121,25.5145120602195,24.1953872360292,27.2547872256838,26.2925833333035,26.1069839280114,26.5314345348106,26.9089232693497,26.3005731672938,25.9514153129017,26.0891542868454,26.7952590823135,26.0517780839748,26.2780768264932,25.6004142707936,26.5070457957913,26.9711663824115,26.3041542258739,26.2704193909117,26.5826130957527,27.1526382004622,26.4499079371291,26.6671204918132,26.8274777227752,26.1195610854199,26.0402344758739,26.8560697797446,25.284881857878,26.7080316226659,25.8459712993611,26.1853115548437,26.7115379599362,26.1675219081252,26.5509923174001,26.4979120117179
"sp|P40227|TCPZ_HUMAN",27.4395018568139,27.8971196337968,27.2541378432584,27.9653420202012,27.8785394501936,27.2805914313944,27.8058171349569,27.8327295694095,26.9273730695296,27.7441250057774,27.5522860518392,27.2773323238395,27.2987282818132,27.4480866675382,27.4802758245104,28.0462718587874,27.0020271495415,27.538878243503,27.3411356519892,27.8503375888205,27.1594542697388,27.1230400036229,27.2756919764856,28.0624874756073,26.9664876552732,26.6581464002378,27.2136015947402,27.5616696279506,27.6140454861984,27.7462106243617,27.8229324930922,27.1187174970446,26.9459746600589,27.4078428467265,27.7129660868582,27.304149406397,27.4566714782626,27.6549697586193,26.8569563007076,27.8236705163218
"sp|Q02252|MMSA_HUMAN",20.6631991209674,19.6493798738541,20.9058741404982,20.6764850432002,20.7078288552228,20.8752359838334,20.2667382242707,20.6057573213089,20.8311653943199,21.5376650623379,21.171108041289,19.8953668240703,22.5938114000111,21.0975454419381,20.774787523536,19.9964461609329,21.7457359227841,20.7440945613324,20.9971579142039,21.1365256958992,21.2248182605591,19.611436228548,21.2700328218639,20.5781907555345,19.4896183077424,21.356138348247,21.6292751070201,21.6276345647714,21.125568271626,21.0441265533098,21.1993880655538,21.5335484822015,20.1649059113332,21.0243347170063,21.1878772924322,21.285418935625,21.5318917629088,20.0914220665008,21.5584115650985,20.7447063405589
"sp|Q7LGA3|HS2ST_HUMAN",20.6768193192752,21.7715822943502,20.537764767954,20.382217140285,21.2409499685917,19.7319259855351,20.055871487123,21.897786911536,20.2823013259058,20.4370946950053,20.5483130165169,20.873425354557,20.523478719093,20.6356397390835,20.9268553904436,21.3224928317318,20.7848092474956,20.8746059168098,20.8080333644494,21.8924452772161,20.0054951470849,20.8687836725714,19.2415857821372,21.3185911713841,21.0418406976356,18.1503073412849,20.6076366909737,20.6495202968135,20.9926296465534,21.6541525568515,20.83907831173,20.8136409100067,21.2528463243222,21.5274863104482,20.6706987758493,20.7788602674283,20.5944601588918,20.7200352057863,20.7793543427236,21.212580418928
"sp|Q7Z3U7|MON2_HUMAN",22.682412807837,23.9489057623547,22.068382183832,22.8492506912059,23.7165200233305,24.0696317638577,22.8236869501631,23.7458172530355,22.7078766351921,23.1163316549171,24.1962002995399,23.0934166689696,22.8952399838595,22.6565490594113,24.904182899104,23.167713508018,21.7481281914238,23.4524038075684,22.3226785163681,23.9461253713358,22.397067444937,23.1093658001798,21.9585107399898,23.3956514229173,22.904391782057,22.8867909349195,22.7434219089621,22.4751979100544,22.1888042988257,23.3474118165306,23.91601856491,22.6470916138826,24.3231149509074,22.1376966372273,22.3336095141019,22.6422167480122,22.6306853109857,23.7430522848134,22.2758062784066,22.9566123794164
